timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755585013.0002635,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.0354729,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.0706823,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.0988059,,,,,,,,,,,,,nan,115296120.0,nan
1755585013.1058917,,,,,,,,,,1581098.9,1599633.8,,,,
1755585013.1144516,,,,,,,,,,,,,nan,115198610.0,nan
1755585013.1300972,,,,,,,,,,,,,nan,115163960.0,nan
1755585013.1411011,,,,,,,,,,1581098.9,1599633.8,,,,
1755585013.1457429,,,,,,,,,,,,,nan,115134940.0,nan
1755585013.1613884,,,,,,,,,,,,,nan,115133336.0,nan
1755585013.1752076,,,,,,,-0.23260498,0.11187744,0.9660034,,,,,,
1755585013.1763105,,,,,,,,,,1581098.9,1599633.8,,,,
1755585013.1770341,,,,,,,,,,,,,nan,115138980.0,nan
1755585013.1926799,,,,,,,,,,,,,nan,115127700.0,nan
1755585013.1946664,,,,,,,-0.23840332,0.105895996,0.96728516,,,,,,
1755585013.2083254,,,,,,,,,,,,,nan,115138980.0,nan
1755585013.2115200,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.2141254,,,,,,,-0.24053955,0.10144043,0.97753906,,,,,,
1755585013.2206964,823.5897,832.8571,922.71063,826.8132,nan,nan,,,,,,,,,
1755585013.2239711,,,,,,,,,,,,,nan,115133336.0,nan
1755585013.2246075,827.619,826.0073,917.8755,820.3663,nan,nan,,,,,,,,,
1755585013.2285185,831.2454,832.0513,917.0696,826.4103,nan,nan,,,,,,,,,
1755585013.2324297,831.6484,836.08057,918.68134,824.7985,nan,nan,,,,,,,,,
1755585013.2335842,,,,,,,-0.23590088,0.09991455,0.9630127,,,,,,
1755585013.2363408,817.5458,836.08057,917.47253,826.0073,nan,nan,,,,,,,,,
1755585013.2396166,,,,,,,,,,,,,nan,115148650.0,nan
1755585013.2402518,815.12823,834.4689,919.0842,845.34796,nan,nan,,,,,,,,,
1755585013.2441628,827.619,830.84247,919.0842,846.55676,nan,nan,,,,,,,,,
1755585013.2467294,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.2480738,841.7216,837.6923,926.337,850.18317,nan,nan,,,,,,,,,
1755585013.2519851,813.5165,831.2454,919.0842,841.31866,nan,nan,,,,,,,,,
1755585013.2530429,,,,,,,-0.24041748,0.10675049,0.96221924,,,,,,
1755585013.2552624,,,,,,,,,,,,,nan,115160740.0,nan
1755585013.2558961,788.1319,823.1868,905.38464,826.8132,nan,nan,,,,,,,,,
1755585013.2598071,830.0366,835.2747,918.68134,846.1539,nan,nan,,,,,,,,,
1755585013.2637181,849.7802,838.9011,917.8755,840.5128,nan,nan,,,,,,,,,
1755585013.2676291,814.7253,832.4542,910.6227,827.619,nan,nan,,,,,,,,,
1755585013.2709079,,,,,,,,,,,,,nan,115126080.0,nan
1755585013.2715404,799.41394,824.7985,907.8022,838.0952,nan,nan,,,,,,,,,
1755585013.2725017,,,,,,,-0.23712158,0.09967041,0.95947266,,,,,,
1755585013.2754514,832.4542,828.022,906.99634,860.65936,nan,nan,,,,,,,,,
1755585013.2793624,851.79486,832.0513,913.8461,854.61536,nan,nan,,,,,,,,,
1755585013.2819388,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.2832735,830.0366,828.4249,912.23444,834.0659,nan,nan,,,,,,,,,
1755585013.2865536,,,,,,,,,,,,,nan,115205864.0,nan
1755585013.2871845,822.381,827.619,910.6227,847.76556,nan,nan,,,,,,,,,
1755585013.2910955,834.4689,830.4396,916.26373,865.4945,nan,nan,,,,,,,,,
1755585013.2919607,,,,,,,-0.23858643,0.099731445,0.9678345,,,,,,
1755585013.2950068,844.1392,831.2454,916.6667,865.89746,nan,nan,,,,,,,,,
1755585013.2989178,823.5897,822.7839,902.96704,834.87177,nan,nan,,,,,,,,,
1755585013.3021994,,,,,,,,,,,,,nan,115223590.0,nan
1755585013.3028288,803.8461,827.2161,906.5934,855.82416,nan,nan,,,,,,,,,
1755585013.3067398,812.3077,830.4396,913.0403,892.0879,nan,nan,,,,,,,,,
1755585013.3106508,828.8278,830.84247,911.02563,857.4359,nan,nan,,,,,,,,,
1755585013.3114195,,,,,,,-0.23760986,0.093811035,0.9639282,,,,,,
1755585013.3145621,830.84247,831.2454,905.78754,811.50183,nan,nan,,,,,,,,,
1755585013.3171482,,,,,,,,,,1581098.9,1599633.8,,,,
1755585013.3178449,,,,,,,,,,,,,nan,115182490.0,nan
1755585013.3184731,821.1722,835.6777,908.20514,819.5604,nan,nan,,,,,,,,,
1755585013.3223841,828.022,842.1245,917.47253,832.8571,nan,nan,,,,,,,,,
1755585013.3262951,844.94507,838.49817,914.65204,826.0073,nan,nan,,,,,,,,,
1755585013.3302062,846.1539,834.0659,914.65204,815.5311,nan,nan,,,,,,,,,
1755585013.3308783,,,,,,,-0.24267578,0.09906006,0.9440918,,,,,,
1755585013.3334906,,,,,,,,,,,,,nan,115180070.0,nan
1755585013.3341174,826.0073,833.2601,915.05493,807.0696,nan,nan,,,,,,,,,
1755585013.3380284,828.4249,839.707,919.4872,829.2308,nan,nan,,,,,,,,,
1755585013.3419394,828.022,830.84247,912.23444,824.3956,nan,nan,,,,,,,,,
1755585013.3458505,823.5897,819.15753,901.75824,802.6374,nan,nan,,,,,,,,,
1755585013.3491361,,,,,,,,,,,,,nan,115179260.0,nan
1755585013.3497615,830.4396,826.8132,910.6227,803.8461,nan,nan,,,,,,,,,
1755585013.3503373,,,,,,,-0.25598145,0.10644531,0.95440674,,,,,,
1755585013.3523576,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.3536727,814.7253,828.022,911.02563,814.7253,nan,nan,,,,,,,,,
1755585013.3575838,814.7253,826.0073,906.1905,826.0073,nan,nan,,,,,,,,,
1755585013.3614948,838.0952,831.6484,908.60803,828.8278,nan,nan,,,,,,,,,
1755585013.3647819,,,,,,,,,,,,,nan,115212300.0,nan
1755585013.3654058,831.2454,833.2601,912.23444,832.4542,nan,nan,,,,,,,,,
1755585013.3693168,810.696,830.4396,912.23444,835.2747,nan,nan,,,,,,,,,
1755585013.3697960,,,,,,,-0.27008057,0.113464355,0.96203613,,,,,,
1755585013.3732281,810.696,827.619,906.99634,834.0659,nan,nan,,,,,,,,,
1755585013.3771391,827.619,826.4103,907.3993,836.08057,nan,nan,,,,,,,,,
1755585013.3804276,,,,,,,,,,,,,nan,115253410.0,nan
1755585013.3810501,841.7216,838.49817,920.696,848.5714,nan,nan,,,,,,,,,
1755585013.3849611,823.5897,844.1392,930.3663,859.0476,nan,nan,,,,,,,,,
1755585013.3875670,,,,,,,,,,1581098.9,1599633.8,,,,
1755585013.3888721,802.6374,827.619,924.3223,855.42126,nan,nan,,,,,,,,,
1755585013.3892548,,,,,,,-0.2816162,0.11828613,0.95196533,,,,,,
1755585013.3927832,817.5458,824.7985,915.4579,848.1685,nan,nan,,,,,,,,,
1755585013.3960731,,,,,,,,,,,,,nan,115197800.0,nan
1755585013.3966944,848.1685,841.31866,923.1135,856.2271,nan,nan,,,,,,,,,
1755585013.4006054,834.0659,842.9304,922.71063,863.47986,nan,nan,,,,,,,,,
1755585013.4045165,797.3993,830.84247,906.99634,853.4066,nan,nan,,,,,,,,,
1755585013.4084275,817.5458,833.663,907.8022,861.06226,nan,nan,,,,,,,,,
1755585013.4087138,,,,,,,-0.28198242,0.12841797,0.949646,,,,,,
1755585013.4117188,,,,,,,,,,,,,nan,115216340.0,nan
1755585013.4123385,842.9304,840.5128,913.8461,859.0476,nan,nan,,,,,,,,,
1755585013.4162498,819.9634,835.2747,913.44324,856.2271,nan,nan,,,,,,,,,
1755585013.4201608,794.9817,830.4396,913.8461,869.12085,nan,nan,,,,,,,,,
1755585013.4227767,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.4240718,814.7253,836.08057,917.8755,892.0879,nan,nan,,,,,,,,,
1755585013.4273643,,,,,,,,,,,,,nan,115239704.0,nan
1755585013.4279828,843.3333,840.10986,919.4872,876.3736,nan,nan,,,,,,,,,
1755585013.4281726,,,,,,,-0.29681396,0.12872314,0.961853,,,,,,
1755585013.4318938,836.8865,838.0952,914.65204,822.381,nan,nan,,,,,,,,,
1755585013.4358051,810.696,833.663,913.44324,827.2161,nan,nan,,,,,,,,,
1755585013.4397161,815.12823,834.0659,913.44324,859.0476,nan,nan,,,,,,,,,
1755585013.4430101,,,,,,,,,,,,,nan,115246960.0,nan
1755585013.4436271,850.18317,844.1392,922.71063,873.5531,nan,nan,,,,,,,,,
1755585013.4475381,832.0513,836.4835,915.05493,834.4689,nan,nan,,,,,,,,,
1755585013.4476314,,,,,,,-0.31677246,0.1237793,0.977417,,,,,,
1755585013.4514492,798.60803,830.4396,901.75824,803.0403,nan,nan,,,,,,,,,
1755585013.4553604,807.0696,836.08057,905.78754,834.4689,nan,nan,,,,,,,,,
1755585013.4579861,,,,,,,,,,1581098.9,1598827.9,,,,
1755585013.4586556,,,,,,,,,,,,,nan,115246960.0,nan
1755585013.4592714,823.9927,836.8865,910.2198,839.304,nan,nan,,,,,,,,,
1755585013.4631824,835.2747,838.49817,909.41394,813.91943,nan,nan,,,,,,,,,
1755585013.4670901,,,,,,,-0.34674072,0.109069824,0.9802246,,,,,,
