timestamp,osc_address,osc_type,osc_data
1755587728237,/eeg,ffffff,"1257.1428,1004.90845,1001.28204,1068.5714,NaN,NaN"
1755587728237,/eeg,ffffff,"1216.8499,1009.7436,958.5714,1055.2748,NaN,NaN"
1755587728237,/eeg,ffffff,"1168.0952,599.5604,746.2271,1029.8901,NaN,NaN"
1755587728238,/eeg,ffffff,"1139.8901,514.1392,775.64105,1039.9634,NaN,NaN"
1755587728238,/eeg,ffffff,"1097.9854,850.989,962.6007,1047.619,NaN,NaN"
1755587728238,/eeg,ffffff,"1058.4982,816.337,929.5604,1036.337,NaN,NaN"
1755587728238,/eeg,ffffff,"1035.1282,218.38828,593.1135,1066.5568,NaN,NaN"
1755587728239,/eeg,ffffff,"997.25275,196.22711,609.2308,1060.5128,NaN,NaN"
1755587728239,/eeg,ffffff,"959.7802,910.2198,1010.9524,1060.9158,NaN,NaN"
1755587728239,/eeg,ffffff,"960.58606,982.3443,965.0183,1077.033,NaN,NaN"
1755587728239,/eeg,ffffff,"938.022,508.09525,745.0183,1074.6154,NaN,NaN"
1755587728239,/eeg,ffffff,"888.0586,551.6117,805.05493,1058.0952,NaN,NaN"
1755587728240,/ppg,fff,"NaN,1.31377872E8,NaN"
1755587728243,/ppg,fff,"NaN,1.31414136E8,NaN"
1755587728243,/ppg,fff,"NaN,1.3141736E8,NaN"
1755587728243,/ppg,fff,"NaN,1.31359344E8,NaN"
1755587728243,/ppg,fff,"NaN,1.3137304E8,NaN"
1755587728243,/ppg,fff,"NaN,1.31360144E8,NaN"
1755587728243,/acc,fff,"0.34698486,0.20141602,0.9099121"
1755587728243,/acc,fff,"0.3493042,0.1986084,0.90856934"
1755587728243,/acc,fff,"0.34802246,0.19616699,0.90631104"
1755587728264,/eeg,ffffff,"909.41394,949.304,990.40295,1046.4103,NaN,NaN"
1755587728264,/eeg,ffffff,"942.0513,873.5531,911.02563,1050.8425,NaN,NaN"
1755587728264,/eeg,ffffff,"947.6923,735.7509,871.9414,1042.7839,NaN,NaN"
1755587728264,/eeg,ffffff,"987.1795,715.6044,878.3883,1050.8425,NaN,NaN"
1755587728265,/eeg,ffffff,"1030.2931,770.80585,923.1135,1073.4066,NaN,NaN"
1755587728265,/eeg,ffffff,"1098.3883,648.71796,842.9304,1081.8682,NaN,NaN"
1755587728266,/eeg,ffffff,"1131.4286,301.79486,673.2967,1056.8865,NaN,NaN"
1755587728267,/eeg,ffffff,"1087.5092,326.37363,665.2381,1035.9341,NaN,NaN"
1755587728267,/eeg,ffffff,"1063.7362,591.0989,826.8132,1033.9194,NaN,NaN"
1755587728267,/eeg,ffffff,"1074.6154,458.13187,804.65204,1040.7693,NaN,NaN"
1755587728267,/eeg,ffffff,"1057.6923,384.79852,736.1539,1040.3663,NaN,NaN"
1755587728268,/eeg,ffffff,"1022.23444,830.4396,946.8865,1035.1282,NaN,NaN"
1755587728314,/acc,fff,"0.34661865,0.19812012,0.9085083"
1755587728314,/acc,fff,"0.34838867,0.19543457,0.90808105"
1755587728314,/acc,fff,"0.3421631,0.20019531,0.909729"
1755587728314,/eeg,ffffff,"1017.8022,713.5897,876.3736,1053.2601,NaN,NaN"
1755587728314,/eeg,ffffff,"974.2857,589.0842,856.63007,1048.8279,NaN,NaN"
1755587728314,/eeg,ffffff,"926.7399,795.38464,931.5751,1031.9048,NaN,NaN"
1755587728314,/eeg,ffffff,"885.2381,947.6923,931.5751,1031.5018,NaN,NaN"
1755587728314,/eeg,ffffff,"814.7253,771.6117,869.5238,1023.44324,NaN,NaN"
1755587728314,/eeg,ffffff,"795.78754,420.2564,736.9597,1040.3663,NaN,NaN"
1755587728314,/eeg,ffffff,"774.43225,525.42126,814.7253,1056.8865,NaN,NaN"
1755587728314,/eeg,ffffff,"701.9048,881.2088,960.989,1041.5751,NaN,NaN"
1755587728314,/eeg,ffffff,"677.72894,683.36993,788.5348,1033.5165,NaN,NaN"
1755587728314,/eeg,ffffff,"724.87177,241.75824,617.6923,1055.2748,NaN,NaN"
1755587728315,/eeg,ffffff,"697.8755,536.30035,832.8571,1039.5604,NaN,NaN"
1755587728315,/eeg,ffffff,"662.01465,917.47253,963.4066,1027.8755,NaN,NaN"
1755587728337,/ppg,fff,"NaN,1.3135128E8,NaN"
1755587728337,/ppg,fff,"NaN,1.31331944E8,NaN"
1755587728337,/ppg,fff,"NaN,1.31320656E8,NaN"
1755587728337,/ppg,fff,"NaN,1.31310184E8,NaN"
1755587728337,/ppg,fff,"NaN,1.31291648E8,NaN"
1755587728338,/ppg,fff,"NaN,1.31269888E8,NaN"
1755587728340,/acc,fff,"0.34960938,0.20074463,0.909729"
1755587728340,/acc,fff,"0.3517456,0.20703125,0.9151001"
1755587728340,/acc,fff,"0.3444214,0.21246338,0.9113159"
1755587728364,/eeg,ffffff,"686.99634,530.2564,709.9634,1048.022,NaN,NaN"
