timestamps,eeg_1,eeg_2,eeg_3,eeg_4,eeg_5,eeg_6,acc_1,acc_2,acc_3,drlref_1,drlref_2,note,ppg_1,ppg_2,ppg_3
1755583557.4635961,,,,,,,-0.111450195,0.15887451,0.99157715,,,,,,
1755583557.4903991,,,,,,,-0.10858154,0.1638794,0.98516846,,,,,,
1755583557.5033865,,,,,,,,,,1602857.1,1599633.8,,,,
1755583557.5172019,,,,,,,-0.109802246,0.16638184,0.97961426,,,,,,
1755583557.5440049,,,,,,,-0.11364746,0.16229248,0.9802246,,,,,,
1755583557.5584025,,,,,,,,,,1602857.1,1599633.8,,,,
1755583557.5708077,,,,,,,-0.111206055,0.1619873,0.9885254,,,,,,
1755583557.5976107,,,,,,,-0.111083984,0.16082764,0.99316406,,,,,,
1755583557.6134186,,,,,,,,,,1602857.1,1599633.8,,,,
1755583557.6244137,,,,,,,-0.11468506,0.16503906,0.9980469,,,,,,
1755583557.6512165,,,,,,,-0.111328125,0.16235352,0.9859619,,,,,,
1755583557.6684349,,,,,,,,,,1602857.1,1599633.8,,,,
1755583557.6780195,,,,,,,-0.11236572,0.15985107,0.9807739,,,,,,
1755583557.7026823,780.4762,642.674,371.50183,844.1392,nan,nan,,,,,,,,,
1755583557.7048225,,,,,,,-0.10522461,0.16381836,0.97943115,,,,,,
1755583557.7083335,806.6667,826.4103,511.3187,858.6447,nan,nan,,,,,,,,,
1755583557.7139845,865.89746,865.4945,503.663,855.42126,nan,nan,,,,,,,,,
1755583557.7196357,838.49817,653.1502,412.60074,832.4542,nan,nan,,,,,,,,,
1755583557.7234509,,,,,,,,,,1602857.1,1599633.8,,,, 
1755583557.7252870,777.25275,540.32965,415.42123,846.55676,nan,nan,,,,,,,,,
1755583557.7309380,792.1612,664.43225,460.1465,876.77655,nan,nan,,,,,,,,,
1755583557.7316253,,,,,,,-0.111572266,0.16210938,0.9923706,,,,,,
1755583557.7365892,852.1978,798.20514,499.23077,857.4359,nan,nan,,,,,,,,,
1755583557.7422404,855.0183,733.3333,451.68497,818.3516,nan,nan,,,,,,,,,
1755583557.7478914,793.36993,384.79852,369.08426,844.5421,nan,nan,,,,,,,,,
1755583557.7535427,758.71796,599.5604,489.56042,864.68866,nan,nan,,,,,,,,,
1755583557.7584283,,,,,,,-0.10913086,0.16546631,0.9968872,,,,,,
1755583557.7591939,825.6044,1172.5275,609.6337,851.79486,nan,nan,,,,,,,,,
1755583557.7648449,869.5238,896.9231,448.46155,837.28937,nan,nan,,,,,,,,,
1755583557.7704961,804.2491,593.91943,343.69965,826.8132,nan,nan,,,,,,,,,
1755583557.7761474,761.53845,830.84247,504.46887,840.9158,nan,nan,,,,,,,,,
1755583557.7784669,,,,,,,,,,1602857.1,1599633.8,,,,
1755583557.7817984,836.4835,939.2308,527.4359,878.7912,nan,nan,,,,,,,,,
1755583557.7852311,,,,,,,-0.103515625,0.16705322,0.98706055,,,,,,
1755583557.7874496,883.6264,779.67035,503.663,858.6447,nan,nan,,,,,,,,,
1755583557.7931008,823.5897,610.4396,431.9414,813.1135,nan,nan,,,,,,,,,
1755583557.7987518,775.2381,610.0366,419.8535,827.619,nan,nan,,,,,,,,,
1755583557.8044031,810.696,739.3773,516.1539,854.21246,nan,nan,,,,,,,,,
1755583557.8100543,894.90845,488.35165,382.38095,861.06226,nan,nan,,,,,,,,,
1755583557.8120341,,,,,,,-0.10089111,0.1708374,0.982605,,,,,,
1755583557.8157053,850.58606,349.7436,349.7436,811.0989,nan,nan,,,,,,,,,
1755583557.8213565,758.315,843.73627,529.85345,785.31134,nan,nan,,,,,,,,,
1755583557.8270078,799.011,912.6374,489.1575,847.3626,nan,nan,,,,,,,,,
1755583557.8326590,847.3626,777.6557,482.30768,860.2564,nan,nan,,,,,,,,,
1755583557.8334830,,,,,,,,,,1602857.1,1599633.8,,,,
1755583557.8383100,821.1722,819.15753,525.0183,799.011,nan,nan,,,,,,,,,
1755583557.8388371,,,,,,,-0.10644531,0.16552734,0.98687744,,,,,,
1755583557.8439612,757.50916,877.98535,500.03662,793.36993,nan,nan,,,,,,,,,
1755583557.8496125,770.80585,772.8205,465.3846,854.21246,nan,nan,,,,,,,,,
1755583557.8552635,838.0952,735.7509,527.4359,853.4066,nan,nan,,,,,,,,,
1755583557.8609147,842.9304,838.9011,530.65936,807.8755,nan,nan,,,,,,,,,
1755583557.8656399,,,,,,,-0.105651855,0.16192627,0.98480225,,,,,,
1755583557.8665659,798.20514,659.59705,416.63004,799.011,nan,nan,,,,,,,,,
1755583557.8722169,774.0293,523.00366,393.663,851.39197,nan,nan,,,,,,,,,
1755583557.8778682,823.1868,365.4579,405.348,882.01465,nan,nan,,,,,,,,,
1755583557.8835194,843.3333,526.63007,484.72528,827.619,nan,nan,,,,,,,,,
1755583557.8884990,,,,,,,,,,1602857.1,1599633.8,,,,
1755583557.8891704,780.07324,977.50916,547.98535,790.9524,nan,nan,,,,,,,,,
1755583557.8924429,,,,,,,-0.10644531,0.16223145,0.9904785,,,,,,
1755583557.8948216,763.95605,772.01465,403.33334,842.9304,nan,nan,,,,,,,,,
1755583557.9004729,804.65204,570.9524,374.72528,891.28204,nan,nan,,,,,,,,,
1755583557.9061239,820.3663,947.28937,558.0586,845.7509,nan,nan,,,,,,,,,
1755583557.9117751,807.47253,1037.9487,531.06226,805.05493,nan,nan,,,,,,,,,
1755583557.9174263,772.4176,671.685,416.63004,832.4542,nan,nan,,,,,,,,,
1755583557.9192460,,,,,,,-0.10272217,0.15966797,0.9918823,,,,,,
1755583557.9230773,774.0293,602.7839,427.10623,865.89746,nan,nan,,,,,,,,,
1755583557.9287286,832.4542,826.0073,467.39926,864.68866,nan,nan,,,,,,,,,
1755583557.9343798,845.34796,722.8571,414.21246,834.0659,nan,nan,,,,,,,,,
1755583557.9400308,808.2784,292.9304,248.60806,859.0476,nan,nan,,,,,,,,,
1755583557.9435151,,,,,,,,,,1602857.1,1599633.8,,,,
1755583557.9456820,805.8608,265.93405,251.42857,916.26373,nan,nan,,,,,,,,,
1755583557.9460487,,,,,,,-0.10650635,0.16333008,0.9868164,,,,,,
1755583557.9513333,840.5128,942.0513,510.91574,892.49084,nan,nan,,,,,,,,,
1755583557.9569843,846.55676,995.2381,460.1465,814.3223,nan,nan,,,,,,,,,
1755583557.9626355,779.67035,752.674,379.96338,769.19415,nan,nan,,,,,,,,,
1755583557.9682868,755.4945,736.1539,406.55676,794.57874,nan,nan,,,,,,,,,
1755583557.9728518,,,,,,,-0.105407715,0.16461182,0.98913574,,,,,,
1755583557.9739377,798.60803,977.1062,501.24542,799.011,nan,nan,,,,,,,,,
1755583557.9795890,853.00366,1122.5641,523.8095,784.10254,nan,nan,,,,,,,,,
1755583557.9852402,823.1868,916.6667,457.32602,774.43225,nan,nan,,,,,,,,,
1755583557.9908912,749.0476,914.65204,502.05127,788.5348,nan,nan,,,,,,,,,
1755583557.9965425,783.2967,1079.8535,575.38464,827.2161,nan,nan,,,,,,,,,
1755583557.9985313,,,,,,,,,,1602857.1,1599633.8,,,,
1755583557.9996545,,,,,,,-0.10284424,0.16400146,0.9869385,,,,,,
1755583558.0021937,856.63007,1045.6044,552.8205,834.0659,nan,nan,,,,,,,,,
1755583558.0078447,833.2601,513.73627,418.24176,815.12823,nan,nan,,,,,,,,,
1755583558.0134959,745.42126,546.77655,464.1758,798.60803,nan,nan,,,,,,,,,
1755583558.0191472,744.61536,1186.227,655.56775,825.2015,nan,nan,,,,,,,,,
1755583558.0247982,840.5128,1104.8352,605.2015,857.8388,nan,nan,,,,,,,,,
1755583558.0264575,,,,,,,-0.104003906,0.16082764,0.98583984,,,,,,
1755583558.0304494,840.10986,857.8388,542.3443,805.4579,nan,nan,,,,,,,,,
1755583558.0361006,751.06226,1047.2161,638.24176,771.6117,nan,nan,,,,,,,,,
1755583558.0417516,747.03296,1179.7803,667.25275,824.3956,nan,nan,,,,,,,,,
1755583558.0474029,826.4103,1017.3993,619.304,851.79486,nan,nan,,,,,,,,,
1755583558.0530541,846.1539,928.3516,586.26373,814.7253,nan,nan,,,,,,,,,
1755583558.0532606,,,,,,,-0.10406494,0.16467285,0.98583984,,,,,,
1755583558.0535474,,,,,,,,,,1602857.1,1599633.8,,,,
1755583558.0587051,777.6557,1041.978,649.5238,779.67035,nan,nan,,,,,,,,,
1755583558.0643563,767.98535,1011.75824,613.663,823.5897,nan,nan,,,,,,,,,
1755583558.0700076,842.9304,537.50916,433.15018,907.3993,nan,nan,,,,,,,,,
1755583558.0756588,859.0476,400.1099,436.37363,861.4652,nan,nan,,,,,,,,,
1755583558.0800633,,,,,,,-0.10772705,0.16516113,0.9862671,,,,,,
1755583558.0813098,792.1612,901.3553,598.3516,767.1795,nan,nan,,,,,,,,,
1755583558.0869610,760.32965,944.87177,548.3883,797.8022,nan,nan,,,,,,,,,
1755583558.0926123,785.7143,731.7216,519.7802,846.55676,nan,nan,,,,,,,,,
1755583558.0982633,828.4249,821.1722,594.3223,819.15753,nan,nan,,,,,,,,,
1755583558.1039145,821.5751,941.2454,577.8022,785.7143,nan,nan,,,,,,,,,
1755583558.1068664,,,,,,,-0.11401367,0.16668701,0.9927368,,,,,,
1755583558.1085634,,,,,,,,,,1602857.1,1599633.8,,,,
1755583558.1095657,774.43225,734.94507,456.52014,814.3223,nan,nan,,,,,,,,,
1755583558.1152167,771.2088,621.7216,449.67032,850.18317,nan,nan,,,,,,,,,
1755583558.1208680,812.3077,782.0879,545.16486,833.663,nan,nan,,,,,,,,,
1755583558.1265192,826.0073,904.17584,552.8205,800.6227,nan,nan,,,,,,,,,
1755583558.1321702,781.685,725.2747,439.59708,805.8608,nan,nan,,,,,,,,,
1755583558.1336694,,,,,,,-0.111328125,0.16436768,0.9840698,,,,,,
1755583558.1378214,772.01465,421.06226,367.0696,855.82416,nan,nan,,,,,,,,,
1755583558.1434727,821.5751,523.8095,458.5348,867.9121,nan,nan,,,,,,,,,
1755583558.1491237,836.8865,731.31866,491.5751,824.3956,nan,nan,,,,,,,,,
1755583558.1547749,807.47253,639.85345,380.76923,819.15753,nan,nan,,,,,,,,,
1755583558.1604261,774.43225,327.58243,337.25275,848.5714,nan,nan,,,,,,,,,
