timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1755739232.3922586,-73.2421875,-73.2421875,-4.39453125,-81.0546875
1755739232.3961372,-63.96484375,-62.01171875,-35.64453125,-77.63671875
1755739232.4000158,-33.69140625,-66.89453125,-25.390625,-59.5703125
1755739232.4038944,-33.203125,-72.75390625,-4.8828125,-51.26953125
1755739232.407773,-73.2421875,-48.33984375,-19.53125,-72.265625
1755739232.4116516,-67.87109375,-40.0390625,-12.6953125,-73.2421875
1755739232.4155302,-29.78515625,-30.2734375,2.44140625,-39.0625
1755739232.4194088,-31.73828125,-17.08984375,9.27734375,-43.45703125
1755739232.4232874,-58.10546875,-19.53125,9.27734375,-78.61328125
1755739232.427166,-64.453125,-49.31640625,-10.25390625,-88.8671875
1755739232.4310446,-58.10546875,-69.3359375,-30.2734375,-84.47265625
1755739232.4349232,-47.8515625,-53.22265625,-32.71484375,-76.171875
1755739232.438542,-63.4765625,-48.828125,-26.3671875,-76.171875
1755739232.442161,-81.54296875,-39.55078125,-24.4140625,-67.3828125
1755739232.44578,-51.26953125,-57.6171875,-41.015625,-65.91796875
1755739232.449399,-26.3671875,-70.80078125,-41.9921875,-59.08203125
1755739232.453018,-42.96875,-48.33984375,-24.4140625,-51.7578125
1755739232.456637,-65.4296875,-58.10546875,-17.08984375,-78.61328125
1755739232.460256,-58.59375,-60.05859375,-16.11328125,-76.66015625
1755739232.463875,-30.76171875,-41.9921875,-26.3671875,-50.78125
1755739232.467494,-30.76171875,-45.8984375,-25.390625,-46.38671875
1755739232.471113,-58.59375,-48.33984375,-28.3203125,-72.75390625
1755739232.474732,-62.01171875,-53.22265625,-48.828125,-79.1015625
1755739232.4783509,-41.015625,-46.38671875,-42.48046875,-58.59375
1755739232.4832785,-39.55078125,-22.94921875,-13.671875,-52.24609375
1755739232.4882057,-54.19921875,-34.66796875,-3.90625,-63.96484375
1755739232.493133,-65.4296875,-88.37890625,-20.99609375,-74.21875
1755739232.4980602,-62.98828125,-107.421875,-38.57421875,-68.84765625
1755739232.5029876,-52.734375,-40.52734375,-29.296875,-52.734375
1755739232.507915,-71.2890625,-21.97265625,-22.94921875,-63.4765625
1755739232.5128424,-81.54296875,-33.69140625,-33.203125,-76.171875
1755739232.5177698,-61.03515625,-24.90234375,-33.69140625,-80.078125
1755739232.522697,-50.29296875,-30.76171875,-25.87890625,-66.89453125
1755739232.5276244,-61.03515625,-50.78125,-11.71875,-60.05859375
1755739232.5325518,-72.75390625,-44.43359375,3.90625,-70.3125
1755739232.5374792,-53.22265625,-39.0625,-4.8828125,-66.40625
1755739232.5412638,-30.76171875,-64.453125,-12.6953125,-57.6171875
1755739232.5450485,-40.0390625,-74.70703125,-1.46484375,-55.6640625
1755739232.5488331,-56.15234375,-62.01171875,8.30078125,-63.96484375
1755739232.5526178,-70.80078125,-56.15234375,-15.13671875,-67.87109375
1755739232.5564024,-54.19921875,-59.08203125,-28.3203125,-53.22265625
1755739232.5601869,-26.3671875,-54.19921875,1.46484375,-36.1328125
1755739232.5639715,-37.59765625,-49.31640625,6.34765625,-50.78125
1755739232.5677562,-60.546875,-44.43359375,-13.18359375,-70.3125
1755739232.5715408,-64.94140625,-43.9453125,-13.671875,-83.984375
1755739232.5753255,-41.015625,-44.921875,-1.953125,-55.17578125
1755739232.57911,-41.50390625,-50.78125,-2.9296875,-47.36328125
1755739232.5828948,-57.12890625,-60.546875,-18.06640625,-75.1953125
1755739232.5867047,-44.43359375,-47.36328125,-23.92578125,-65.91796875
1755739232.5905144,-32.71484375,-39.0625,-20.01953125,-44.43359375
1755739232.5943244,-29.78515625,-62.5,-13.18359375,-38.57421875
1755739232.5981345,-33.203125,-62.98828125,-23.92578125,-57.6171875
1755739232.601944,-26.85546875,-50.29296875,-39.55078125,-52.734375
1755739232.605754,0.0,-68.359375,-39.55078125,-16.6015625
1755739232.6095638,12.6953125,-68.359375,-44.921875,-0.48828125
1755739232.6133735,-2.9296875,-47.36328125,-42.96875,-16.6015625
1755739232.6171834,-16.11328125,-52.734375,-39.0625,-23.4375
1755739232.6209934,15.13671875,-65.4296875,-40.0390625,-1.953125
1755739232.624803,34.66796875,-41.015625,-32.71484375,12.20703125
1755739232.628613,18.06640625,-41.9921875,-24.4140625,7.32421875
1755739232.632372,10.7421875,-61.03515625,-22.4609375,-6.34765625
1755739232.6361306,30.76171875,-49.8046875,-18.06640625,-8.7890625
1755739232.6398892,43.9453125,-58.10546875,-17.08984375,6.34765625
1755739232.643648,10.25390625,-60.05859375,-24.4140625,-2.44140625
1755739232.647407,1.46484375,-78.61328125,-25.87890625,-10.7421875
1755739232.6511655,21.484375,-110.83984375,-18.06640625,-4.8828125
1755739232.6549244,32.2265625,-79.1015625,-4.8828125,-2.9296875
1755739232.6586833,9.27734375,-39.55078125,-15.625,-14.6484375
1755739232.6624422,-21.484375,-25.390625,-31.73828125,-33.69140625
1755739232.6662009,-19.04296875,-23.92578125,-20.99609375,-43.45703125
