timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1755829627.6603386,-120.1171875,-134.765625,-456.54296875,8.30078125
1755829627.6639702,-174.8046875,-139.6484375,-755.37109375,-70.3125
1755829627.6676016,-112.79296875,-159.1796875,-953.125,-4.39453125
1755829627.671233,-28.80859375,-160.64453125,-749.0234375,79.58984375
1755829627.6748643,-79.1015625,-153.80859375,-592.28515625,41.015625
1755829627.678496,-176.7578125,-163.0859375,-843.75,-62.98828125
1755829627.6821272,-107.91015625,-175.29296875,-1000.0,19.04296875
1755829627.6857588,-64.94140625,-174.8046875,-853.515625,80.078125
1755829627.6893902,-145.5078125,-158.69140625,-393.06640625,-20.99609375
1755829627.6930215,-174.31640625,-151.85546875,-539.0625,-44.921875
1755829627.6966531,-182.6171875,-165.52734375,-904.296875,-56.15234375
1755829627.7002845,-133.30078125,-172.8515625,-637.6953125,-1.46484375
1755829627.705178,-77.1484375,-170.8984375,-311.03515625,73.73046875
1755829627.710071,-112.79296875,-177.734375,-544.43359375,14.16015625
1755829627.7149649,-174.31640625,-182.12890625,-928.7109375,-68.84765625
1755829627.7198584,-143.5546875,-197.265625,-761.71875,-32.2265625
1755829627.7247517,-91.30859375,-210.44921875,-357.91015625,41.015625
1755829627.7296453,-85.44921875,-196.2890625,-518.5546875,39.0625
1755829627.7345388,-120.1171875,-194.3359375,-988.28125,-8.30078125
1755829627.739432,-172.8515625,-192.87109375,-877.9296875,-63.96484375
1755829627.7443256,-132.8125,-191.40625,-358.88671875,-7.8125
1755829627.7492192,-87.40234375,-191.40625,-462.40234375,48.828125
1755829627.7541125,-146.484375,-192.87109375,-886.23046875,-36.62109375
1755829627.759006,-199.21875,-201.171875,-757.32421875,-114.2578125
1755829627.7639904,-112.79296875,-202.1484375,-468.26171875,13.671875
1755829627.768975,-83.49609375,-207.03125,-468.75,63.4765625
1755829627.7739594,-187.01171875,-213.37890625,-686.5234375,-55.6640625
1755829627.7789438,-207.03125,-222.16796875,-808.59375,-80.56640625
1755829627.7839284,-122.0703125,-237.3046875,-604.00390625,9.765625
1755829627.7889128,-62.5,-256.34765625,-591.796875,87.40234375
1755829627.7938972,-128.90625,-272.4609375,-783.69140625,-3.90625
1755829627.7988818,-223.14453125,-269.53125,-770.01953125,-129.8828125
1755829627.803866,-150.390625,-259.765625,-674.31640625,-40.52734375
1755829627.8088503,-40.52734375,-242.67578125,-611.328125,89.84375
1755829627.8138351,-112.79296875,-225.09765625,-642.578125,19.53125
1755829627.8188195,-220.21484375,-223.14453125,-666.015625,-108.88671875
1755829627.821451,-162.59765625,-227.5390625,-732.91015625,-59.08203125
1755829627.8240826,-69.3359375,-248.53515625,-638.671875,52.734375
1755829627.826714,-139.16015625,-278.3203125,-421.875,-14.16015625
1755829627.8293457,-231.93359375,-286.62109375,-499.51171875,-117.1875
1755829627.8319771,-195.3125,-306.640625,-765.13671875,-85.9375
1755829627.8346086,-103.02734375,-328.125,-707.51953125,32.2265625
1755829627.83724,-112.3046875,-327.1484375,-375.48828125,47.36328125
1755829627.8398716,-191.89453125,-324.21875,-306.15234375,-87.40234375
1755829627.842503,-187.98828125,-330.078125,-693.359375,-91.30859375
1755829627.8451345,-122.55859375,-321.77734375,-716.796875,17.08984375
1755829627.8477662,-115.72265625,-312.5,-250.48828125,26.85546875
1755829627.8503976,-184.08203125,-326.171875,-211.42578125,-48.828125
1755829627.8554482,-181.640625,-342.7734375,-723.14453125,-45.8984375
1755829627.860499,-122.0703125,-347.16796875,-851.5625,19.04296875
1755829627.8655496,-136.71875,-356.93359375,-296.38671875,2.44140625
1755829627.8706,-151.85546875,-362.79296875,-226.5625,-13.18359375
1755829627.8756506,-185.05859375,-354.00390625,-625.9765625,-46.38671875
1755829627.8807013,-152.34375,-350.5859375,-697.75390625,-26.85546875
1755829627.885752,-84.47265625,-344.7265625,-375.9765625,47.8515625
1755829627.8908026,-104.00390625,-355.46875,-140.625,23.92578125
1755829627.895853,-122.0703125,-374.0234375,-633.30078125,-8.30078125
1755829627.9009037,-176.7578125,-365.234375,-854.98046875,-66.40625
1755829627.9059544,-174.31640625,-365.234375,-250.48828125,-49.8046875
1755829627.911005,-95.703125,-377.44140625,-134.765625,69.82421875
1755829627.913435,-160.15625,-376.46484375,-427.734375,-12.20703125
1755829627.915865,-214.35546875,-361.81640625,-646.97265625,-85.9375
1755829627.9182951,-156.25,-382.8125,-417.96875,2.44140625
1755829627.920725,-70.80078125,-397.4609375,-187.98828125,82.51953125
1755829627.923155,-97.65625,-392.578125,-427.734375,14.16015625
1755829627.9255853,-195.80078125,-389.6484375,-668.45703125,-100.5859375
1755829627.9280152,-184.5703125,-372.0703125,-542.96875,-63.4765625
1755829627.9304452,-68.84765625,-359.375,-381.34765625,63.96484375
1755829627.9328752,-57.6171875,-369.62890625,-533.69140625,55.6640625
1755829627.935305,-196.77734375,-385.7421875,-544.43359375,-83.49609375
1755829627.9377353,-188.4765625,-383.30078125,-391.11328125,-69.3359375
1755829627.9401653,-34.66796875,-361.81640625,-310.05859375,83.49609375
1755829627.9439352,-19.04296875,-381.8359375,-615.72265625,118.1640625
1755829627.947705,-206.0546875,-415.0390625,-523.92578125,-101.07421875
1755829627.951475,-187.98828125,-404.78515625,-383.7890625,-112.3046875
1755829627.9552443,-69.3359375,-391.6015625,-348.6328125,23.4375
1755829627.9590144,-55.6640625,-381.8359375,-70.3125,50.29296875
1755829627.9627843,-85.44921875,-374.51171875,-313.96484375,10.7421875
1755829627.9665542,-163.57421875,-380.859375,-690.91796875,-57.6171875
1755829627.970324,-82.03125,-376.46484375,-842.28515625,29.78515625
1755829627.974094,-56.640625,-376.46484375,-698.73046875,69.3359375
1755829627.9778636,-176.26953125,-376.46484375,-103.02734375,-54.6875
1755829627.9816334,-155.2734375,-359.86328125,-297.36328125,-72.75390625
1755829627.9854033,-96.19140625,-347.16796875,-529.78515625,-32.71484375
1755829627.9928813,-42.48046875,-343.75,-115.234375,45.41015625
1755829628.0003595,-63.4765625,-348.6328125,71.2890625,47.36328125
1755829628.0078375,-89.35546875,-341.30859375,-315.91796875,-18.5546875
1755829628.0153155,-91.30859375,-344.7265625,-600.5859375,-29.296875
1755829628.0227935,-64.453125,-359.86328125,-248.53515625,12.6953125
1755829628.0302715,-1.953125,-333.0078125,-62.98828125,53.22265625
1755829628.0377498,-35.64453125,-318.359375,-415.52734375,-0.9765625
1755829628.0452278,-90.33203125,-349.609375,-866.69921875,-69.3359375
1755829628.0527058,-99.609375,-356.93359375,-510.7421875,-56.15234375
1755829628.060184,-35.64453125,-333.49609375,-29.78515625,41.015625
1755829628.067662,-24.4140625,-335.9375,-434.5703125,40.0390625
1755829628.07514,-98.14453125,-353.515625,-713.8671875,-75.1953125
1755829628.077711,-106.4453125,-329.1015625,-226.07421875,-71.77734375
1755829628.0802824,10.7421875,-288.0859375,128.90625,36.62109375
1755829628.0828538,27.34375,-295.8984375,-145.01953125,-1.46484375
1755829628.0854251,-90.33203125,-329.1015625,-437.98828125,-101.5625
1755829628.0879962,-65.4296875,-318.84765625,-319.3359375,-50.78125
1755829628.0905676,45.8984375,-292.48046875,-195.80078125,88.37890625
1755829628.093139,-7.32421875,-280.2734375,-266.11328125,49.8046875
1755829628.09571,-94.7265625,-290.0390625,-346.6796875,-93.26171875
1755829628.0982814,-101.07421875,-299.31640625,-260.7421875,-119.140625
1755829628.1008527,4.8828125,-290.52734375,-87.890625,-13.671875
1755829628.1034238,35.15625,-274.4140625,-85.44921875,36.62109375
1755829628.1059952,-14.16015625,-256.34765625,-254.8828125,-34.66796875
1755829628.1073213,-15.625,-259.765625,-397.4609375,-67.87109375
1755829628.108647,21.484375,-268.06640625,-242.1875,-8.7890625
1755829628.1099734,89.35546875,-256.34765625,-84.9609375,72.265625
1755829628.1112995,13.18359375,-250.48828125,-17.578125,-17.08984375
