timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1755830241.6373122,-319.82421875,271.484375,-1000.0,-254.39453125
1755830241.6375396,-460.44921875,202.63671875,-1000.0,-236.81640625
1755830241.637767,-256.34765625,-82.03125,-1000.0,-152.34375
1755830241.6379943,-80.56640625,-42.48046875,-1000.0,-157.71484375
1755830241.638222,-213.37890625,76.171875,-1000.0,-215.33203125
1755830241.6384492,-407.2265625,-150.87890625,-1000.0,-208.0078125
1755830241.6386766,-332.51953125,-369.62890625,-1000.0,-170.8984375
1755830241.638904,-149.4140625,-4.39453125,-1000.0,-213.8671875
1755830241.6391315,-166.9921875,375.9765625,-999.0234375,-240.234375
1755830241.639359,-341.30859375,105.95703125,-999.0234375,-184.5703125
1755830241.6395864,-349.12109375,-388.671875,-1000.0,-129.39453125
1755830241.639814,-191.40625,-104.4921875,-998.046875,-181.640625
1755830241.644649,-122.0703125,388.671875,-979.98046875,-210.44921875
1755830241.6494842,-264.16015625,136.23046875,-987.79296875,-151.3671875
1755830241.6543193,-361.328125,-500.48828125,-1000.0,-102.05078125
1755830241.6591544,-267.08984375,-137.6953125,-978.515625,-181.640625
1755830241.6639895,-90.33203125,531.73828125,-844.23828125,-179.19921875
1755830241.668825,-146.97265625,135.7421875,-931.15234375,-86.42578125
1755830241.67366,-255.37109375,-839.35546875,-1000.0,9.27734375
1755830241.6784952,-254.39453125,-649.4140625,-1000.0,-103.02734375
1755830241.6833303,-172.8515625,549.31640625,-907.71484375,-246.58203125
1755830241.6881654,-121.09375,381.34765625,-869.140625,-109.375
1755830241.6930006,-321.77734375,-120.60546875,-1000.0,-97.65625
1755830241.6978357,-376.46484375,328.61328125,-1000.0,-202.1484375
1755830241.7015529,-121.09375,657.2265625,-903.3203125,-153.80859375
1755830241.70527,-50.78125,335.9375,-908.69140625,-86.9140625
1755830241.7089872,-316.40625,129.39453125,-1000.0,-160.64453125
1755830241.7127044,-413.57421875,395.99609375,-998.046875,-248.046875
1755830241.7164216,-138.18359375,480.95703125,-996.09375,-201.171875
1755830241.720139,-7.32421875,245.60546875,-999.0234375,-159.1796875
1755830241.7238562,-276.3671875,159.66796875,-1000.0,-249.51171875
1755830241.7275734,-441.40625,354.4921875,-1000.0,-293.9453125
1755830241.7312906,-208.984375,465.33203125,-1000.0,-203.125
1755830241.7350078,64.94140625,-147.4609375,-1000.0,-64.94140625
1755830241.738725,-135.7421875,-404.78515625,-1000.0,-145.99609375
1755830241.742442,-445.3125,226.5625,-997.55859375,-277.34375
1755830241.746215,-278.3203125,306.640625,-1000.0,-173.828125
1755830241.7499886,-30.2734375,170.41015625,-979.98046875,-112.3046875
1755830241.7537618,-164.55078125,329.1015625,-922.36328125,-223.6328125
1755830241.757535,-408.69140625,417.48046875,-963.8671875,-269.53125
1755830241.7613082,-327.63671875,135.25390625,-1000.0,-159.1796875
1755830241.7650814,-69.82421875,-63.96484375,-999.0234375,-85.44921875
1755830241.7688546,-98.6328125,159.1796875,-997.55859375,-163.57421875
1755830241.7726278,-368.65234375,364.74609375,-990.72265625,-230.95703125
1755830241.776401,-332.03125,-40.52734375,-1000.0,-92.7734375
1755830241.7801745,-91.30859375,-361.328125,-1000.0,-20.01953125
1755830241.7839477,-95.21484375,252.44140625,-944.3359375,-162.109375
1755830241.787721,-250.9765625,468.26171875,-942.3828125,-147.4609375
1755830241.7916956,-320.3125,-138.671875,-1000.0,-46.875
1755830241.7956705,-195.3125,-46.875,-942.3828125,-89.84375
1755830241.7996454,-44.921875,513.671875,-815.4296875,-146.97265625
1755830241.8036203,-170.41015625,526.3671875,-845.21484375,-167.48046875
1755830241.8075953,-304.19921875,-48.33984375,-958.984375,-119.140625
1755830241.8115702,-197.75390625,-408.203125,-1000.0,-93.26171875
1755830241.815545,-87.890625,162.109375,-966.796875,-184.08203125
1755830241.8195202,-133.7890625,559.5703125,-868.65234375,-204.58984375
1755830241.8234951,-260.25390625,-183.10546875,-956.0546875,-82.51953125
1755830241.82747,-323.2421875,-439.453125,-1000.0,-137.20703125
1755830241.831445,-170.41015625,409.66796875,-927.734375,-237.79296875
1755830241.83542,-30.76171875,397.4609375,-907.71484375,-153.80859375
1755830241.8389506,-255.859375,106.93359375,-998.046875,-167.48046875
1755830241.8424816,-386.71875,173.33984375,-1000.0,-197.75390625
1755830241.8460124,-171.38671875,394.04296875,-920.8984375,-151.3671875
1755830241.849543,29.296875,218.75,-886.71875,-56.15234375
1755830241.8530738,-150.390625,-172.8515625,-1000.0,-63.96484375
1755830241.8566046,-387.20703125,-206.0546875,-1000.0,-126.46484375
1755830241.8601356,-247.55859375,32.2265625,-987.79296875,-114.74609375
1755830241.8636663,6.34765625,233.3984375,-972.16796875,-45.41015625
1755830241.867197,9.27734375,-623.53515625,-996.09375,70.80078125
1755830241.870728,-364.74609375,-552.24609375,-1000.0,-115.72265625
1755830241.8742588,-392.578125,429.6875,-883.30078125,-207.03125
1755830241.8777895,-24.90234375,386.71875,-875.48828125,-66.89453125
1755830241.8827946,-50.78125,321.77734375,-849.609375,-91.30859375
1755830241.8877995,-334.9609375,431.15234375,-771.484375,-156.25
1755830241.8928049,-317.87109375,297.8515625,-921.38671875,-121.58203125
1755830241.89781,-76.171875,150.87890625,-974.12109375,-88.8671875
1755830241.902815,-19.04296875,185.05859375,-942.3828125,-132.8125
1755830241.9078202,-221.6796875,-39.55078125,-985.83984375,-151.3671875
1755830241.912825,-374.51171875,-180.6640625,-1000.0,-169.921875
1755830241.9178305,-98.6328125,-547.8515625,-1000.0,-59.08203125
1755830241.9228356,25.390625,-573.73046875,-970.703125,-114.2578125
1755830241.9278407,-281.25,230.95703125,-947.75390625,-299.8046875
1755830241.9328458,-376.953125,173.33984375,-997.55859375,-214.84375
1755830241.937851,-200.68359375,-40.0390625,-1000.0,-147.94921875
1755830241.9403758,-31.25,239.74609375,-946.77734375,-172.36328125
1755830241.942901,-129.8828125,420.8984375,-893.06640625,-208.49609375
1755830241.9454255,-312.98828125,80.56640625,-977.05078125,-182.12890625
1755830241.9479506,-256.8359375,-175.78125,-1000.0,-149.4140625
1755830241.9504757,-56.15234375,152.34375,-966.30859375,-155.76171875
1755830241.9530003,-32.2265625,188.96484375,-975.09765625,-136.71875
1755830241.9555252,-219.23828125,-283.69140625,-1000.0,-105.95703125
1755830241.95805,-291.015625,-371.58203125,-999.0234375,-127.44140625
1755830241.960575,-100.5859375,135.25390625,-998.53515625,-146.484375
1755830241.9631,19.53125,244.140625,-999.0234375,-109.86328125
1755830241.9656248,-158.203125,-154.296875,-995.1171875,-93.75
1755830241.9681497,-276.3671875,-803.7109375,-1000.0,-64.453125
1755830241.9731536,-240.72265625,-211.42578125,-987.3046875,-199.70703125
1755830241.9781573,-77.63671875,535.64453125,-826.171875,-196.2890625
1755830241.9831612,-142.578125,209.9609375,-885.25390625,-126.953125
1755830241.9881651,-362.3046875,86.9140625,-1000.0,-167.96875
1755830241.9931688,-235.83984375,202.63671875,-994.62890625,-123.53515625
1755830241.9981728,20.99609375,158.69140625,-999.0234375,-60.05859375
1755830242.0031767,-11.71875,-351.5625,-1000.0,-30.76171875
1755830242.0081804,-305.6640625,-538.0859375,-1000.0,-124.0234375
1755830242.0131843,-377.44140625,110.83984375,-1000.0,-228.515625
1755830242.0181882,-70.80078125,301.26953125,-982.91015625,-148.92578125
1755830242.023192,-16.6015625,203.125,-987.3046875,-141.6015625
1755830242.028196,-278.3203125,152.83203125,-1000.0,-182.6171875
1755830242.0332904,-350.5859375,-1.953125,-999.0234375,-156.73828125
1755830242.038385,-102.05078125,-46.38671875,-1000.0,-99.609375
