timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1755830978.8391562,77.1484375,-39.55078125,-716.30859375,-5.859375
1755830978.8439736,97.65625,21.97265625,-684.08203125,21.484375
1755830978.8487911,114.74609375,51.26953125,-538.57421875,61.5234375
1755830978.8536084,90.33203125,-99.609375,-582.51953125,73.73046875
1755830978.8584256,64.453125,-232.421875,-769.53125,121.58203125
1755830978.863243,81.54296875,-388.18359375,-917.96875,235.83984375
1755830978.8680606,110.83984375,-435.546875,-871.09375,311.5234375
1755830978.8728778,90.33203125,-18.06640625,-527.34375,227.05078125
1755830978.877695,53.7109375,138.18359375,-470.703125,55.6640625
1755830978.8825126,68.84765625,-146.97265625,-770.01953125,16.11328125
1755830978.88733,86.42578125,-275.87890625,-790.0390625,48.33984375
1755830978.8921473,81.0546875,46.875,-482.421875,19.04296875
1755830978.8945904,47.8515625,270.99609375,-347.65625,-14.16015625
1755830978.8970337,30.2734375,63.4765625,-572.265625,-43.45703125
1755830978.8994768,82.03125,-681.15234375,-953.125,20.5078125
1755830978.9019198,85.9375,-587.890625,-738.28125,66.89453125
1755830978.904363,53.22265625,344.23828125,-208.0078125,13.671875
1755830978.906806,39.55078125,-101.07421875,-580.56640625,-21.484375
1755830978.9092493,51.7578125,-765.13671875,-956.54296875,6.34765625
1755830978.9116924,77.1484375,-162.109375,-457.51953125,35.64453125
1755830978.9141357,76.66015625,664.55078125,123.53515625,-1.953125
1755830978.9165788,63.4765625,178.22265625,-273.4375,-25.390625
1755830978.9190218,69.3359375,-313.96484375,-674.8046875,9.27734375
1755830978.921465,88.8671875,288.57421875,-178.7109375,61.5234375
1755830978.9240413,93.26171875,802.734375,281.73828125,78.125
1755830978.9266174,95.21484375,104.00390625,-265.625,56.640625
1755830978.9291935,78.125,-371.09375,-722.16796875,46.38671875
1755830978.9317698,103.02734375,299.31640625,-154.78515625,77.63671875
1755830978.9343462,114.74609375,617.67578125,143.06640625,102.5390625
1755830978.9369226,98.6328125,-138.671875,-423.828125,83.49609375
1755830978.939499,86.9140625,-1000.0,-1000.0,63.96484375
1755830978.942075,92.28515625,-225.5859375,-506.34765625,68.359375
1755830978.9446511,132.32421875,710.44921875,239.2578125,113.76953125
1755830978.9472277,142.08984375,71.77734375,-166.50390625,122.0703125
1755830978.9498036,82.03125,-384.765625,-576.66015625,103.515625
1755830978.95238,76.66015625,159.66796875,-195.80078125,125.0
1755830978.957431,131.34765625,719.7265625,395.99609375,169.43359375
1755830978.9624825,131.8359375,119.62890625,150.87890625,176.26953125
1755830978.9675336,107.91015625,-291.015625,-162.109375,111.81640625
1755830978.9725847,119.62890625,283.203125,191.40625,98.6328125
1755830978.977636,177.734375,543.45703125,490.72265625,220.21484375
1755830978.982687,204.58984375,479.00390625,569.82421875,322.265625
1755830978.9877384,163.57421875,292.96875,369.62890625,323.73046875
1755830978.9927895,148.4375,404.78515625,334.9609375,363.28125
1755830978.9978406,218.26171875,396.97265625,368.65234375,482.91015625
1755830979.002892,258.30078125,215.8203125,355.46875,464.84375
1755830979.0079432,228.515625,438.4765625,456.54296875,339.35546875
1755830979.0129943,195.3125,440.4296875,347.65625,326.66015625
1755830979.015489,206.54296875,61.03515625,124.0234375,331.54296875
1755830979.0179842,223.14453125,298.33984375,407.2265625,282.71484375
1755830979.0204792,188.4765625,806.640625,789.55078125,196.77734375
1755830979.0229745,145.99609375,553.22265625,504.8828125,150.390625
1755830979.025469,155.2734375,37.109375,79.1015625,209.9609375
1755830979.027964,179.19921875,40.52734375,177.24609375,295.41015625
1755830979.0304592,164.55078125,466.796875,545.8984375,221.19140625
1755830979.032954,133.30078125,404.296875,380.859375,62.98828125
1755830979.035449,106.93359375,-138.18359375,-137.20703125,1.46484375
1755830979.037944,106.4453125,63.4765625,70.80078125,-9.765625
1755830979.040439,108.88671875,700.1953125,627.44140625,-12.6953125
1755830979.042934,88.37890625,611.81640625,517.08984375,-49.8046875
1755830979.0490077,77.63671875,-442.3828125,-361.81640625,3.90625
1755830979.0550816,81.0546875,-443.84765625,-375.0,144.04296875
1755830979.061155,104.98046875,755.37109375,631.34765625,239.74609375
1755830979.0672293,99.609375,555.6640625,517.08984375,260.25390625
1755830979.073303,73.73046875,-337.40234375,-287.109375,222.16796875
1755830979.0793767,92.7734375,-376.953125,-368.1640625,251.953125
1755830979.0854506,98.6328125,284.1796875,190.4296875,310.546875
1755830979.0915244,81.0546875,278.3203125,160.64453125,316.40625
1755830979.0975983,59.08203125,-576.66015625,-615.234375,263.18359375
1755830979.103672,46.875,-389.16015625,-587.40234375,237.79296875
1755830979.109746,78.61328125,473.6328125,120.1171875,282.71484375
1755830979.1158197,71.77734375,235.3515625,11.23046875,273.92578125
1755830979.11736,20.5078125,-267.578125,-418.45703125,174.31640625
1755830979.1189008,23.92578125,-75.68359375,-399.4140625,156.73828125
1755830979.1204412,77.1484375,206.54296875,-193.84765625,208.49609375
1755830979.121982,81.54296875,252.44140625,-65.91796875,213.37890625
1755830979.1235223,41.015625,69.82421875,-247.55859375,170.8984375
1755830979.125063,22.4609375,-256.8359375,-593.75,125.48828125
1755830979.1266034,38.0859375,-391.11328125,-674.8046875,152.34375
1755830979.1281438,48.828125,-234.86328125,-475.09765625,185.05859375
1755830979.1296844,-3.90625,-39.0625,-379.39453125,133.30078125
1755830979.1312249,-63.4765625,-20.5078125,-503.41796875,67.3828125
1755830979.1327655,-50.78125,44.43359375,-456.54296875,64.94140625
1755830979.134306,-7.32421875,-404.296875,-644.53125,115.72265625
1755830979.1391463,-44.921875,-583.984375,-766.11328125,97.16796875
1755830979.1439865,-103.515625,-26.85546875,-520.5078125,7.8125
1755830979.1488268,-58.10546875,-234.375,-750.0,7.8125
1755830979.1536672,-35.15625,-264.16015625,-678.7109375,43.9453125
1755830979.158507,-79.1015625,42.48046875,-343.26171875,31.25
1755830979.1633475,-105.95703125,-228.515625,-612.79296875,-6.34765625
1755830979.168188,-98.6328125,-558.10546875,-958.49609375,-41.015625
1755830979.1730282,-57.6171875,-909.66796875,-1000.0,-14.16015625
1755830979.1778686,-53.7109375,-488.28125,-659.1796875,1.953125
1755830979.182709,-68.359375,14.6484375,-472.65625,-35.64453125
1755830979.187549,-66.40625,-667.48046875,-963.37890625,-49.8046875
1755830979.1923895,-35.64453125,-653.3203125,-874.51171875,-38.0859375
1755830979.1949406,-41.50390625,187.5,-374.51171875,-20.99609375
1755830979.1974916,-77.63671875,378.90625,-248.53515625,-4.39453125
1755830979.200043,-81.54296875,-359.86328125,-768.06640625,-45.41015625
1755830979.202594,-67.3828125,-471.6796875,-923.828125,-59.5703125
1755830979.2051451,-37.59765625,158.203125,-469.7265625,-11.23046875
1755830979.2076964,-62.98828125,6.8359375,-501.953125,-29.296875
1755830979.2102475,-124.51171875,-623.046875,-875.0,-68.359375
1755830979.2127986,-102.05078125,-654.296875,-991.2109375,-95.703125
1755830979.2153497,-68.84765625,-41.9921875,-663.57421875,-62.5
1755830979.2179008,-72.75390625,315.4296875,-326.171875,-39.55078125
1755830979.220452,-81.54296875,-385.7421875,-681.15234375,-87.890625
1755830979.2230031,-104.00390625,-800.78125,-1000.0,-90.33203125
1755830979.2280016,-108.3984375,-349.609375,-824.70703125,-32.71484375
1755830979.233,-58.10546875,27.83203125,-507.8125,-0.9765625
1755830979.2379985,-59.5703125,-403.3203125,-719.7265625,-41.015625
1755830979.242997,-105.46875,-673.33984375,-1000.0,-79.58984375
1755830979.2479954,-84.47265625,-101.07421875,-737.79296875,-27.34375
1755830979.2529938,-33.203125,-109.86328125,-598.6328125,18.06640625
1755830979.2579925,-60.546875,-666.9921875,-891.6015625,-14.16015625
1755830979.2629907,-105.46875,-613.76953125,-1000.0,-78.125
1755830979.2679892,-73.73046875,-104.4921875,-796.875,-82.03125
1755830979.2729876,-24.4140625,4.8828125,-554.19921875,-23.4375
1755830979.277986,-31.25,36.62109375,-462.890625,-11.23046875
1755830979.2829845,-62.5,32.2265625,-592.28515625,-34.1796875
1755830979.2890527,-44.43359375,-65.4296875,-735.3515625,-31.25
1755830979.2951207,11.71875,-82.51953125,-679.19921875,41.015625
1755830979.301189,20.01953125,127.9296875,-407.71484375,68.84765625
1755830979.307257,-21.97265625,21.97265625,-506.34765625,-12.20703125
1755830979.3133252,-40.0390625,-178.7109375,-815.4296875,-28.80859375
1755830979.3193932,9.27734375,-612.79296875,-966.30859375,35.15625
1755830979.3254614,0.9765625,-586.9140625,-767.578125,44.43359375
1755830979.3315296,-45.8984375,126.953125,-419.43359375,1.953125
1755830979.3375976,-56.15234375,-8.30078125,-712.890625,-23.92578125
1755830979.3436658,-5.859375,-656.25,-1000.0,20.99609375
1755830979.3497338,8.7890625,-510.7421875,-741.2109375,34.1796875
1755830979.355802,-43.9453125,325.68359375,-343.75,-2.9296875
1755830979.3584166,-64.453125,-11.71875,-657.71484375,-27.34375
1755830979.3610313,-36.62109375,-311.03515625,-891.11328125,1.46484375
1755830979.3636458,18.06640625,94.7265625,-561.5234375,49.31640625
1755830979.3662603,30.2734375,486.81640625,-242.1875,15.625
1755830979.368875,-3.90625,68.84765625,-573.2421875,-17.578125
1755830979.3714895,-12.20703125,-629.8828125,-1000.0,12.20703125
1755830979.3741045,26.85546875,-408.69140625,-847.16796875,71.77734375
1755830979.3767188,37.109375,207.51953125,-407.2265625,104.00390625
1755830979.3793335,-10.7421875,106.93359375,-463.37890625,47.36328125
1755830979.381948,-28.3203125,-454.58984375,-947.75390625,-21.97265625
1755830979.3845627,18.06640625,-247.55859375,-819.3359375,-8.7890625
1755830979.3871772,47.8515625,361.81640625,-301.7578125,41.50390625
1755830979.3897393,14.6484375,106.4453125,-432.12890625,30.2734375
1755830979.392301,-34.66796875,-600.09765625,-898.4375,-34.66796875
1755830979.3948634,-42.48046875,-103.02734375,-632.8125,-37.109375
1755830979.3974254,-10.25390625,543.9453125,-99.609375,28.80859375
1755830979.3999877,0.0,125.9765625,-298.33984375,23.92578125
1755830979.4025493,-57.6171875,-635.25390625,-894.04296875,-28.3203125
1755830979.4051113,-90.33203125,-246.09375,-678.22265625,-52.24609375
1755830979.4076734,-72.75390625,378.41796875,-162.59765625,-23.4375
1755830979.4102354,-100.5859375,187.01171875,-157.71484375,-39.0625
1755830979.4127977,-113.28125,-265.625,-519.04296875,-91.796875
1755830979.4153595,-112.79296875,-79.58984375,-512.20703125,-102.05078125
1755830979.4179215,-93.26171875,380.37109375,-133.30078125,-44.921875
1755830979.425352,-53.7109375,-160.64453125,-387.20703125,9.27734375
1755830979.4327826,-90.33203125,-699.70703125,-836.42578125,-20.5078125
1755830979.4402132,-126.953125,-112.3046875,-565.4296875,-97.65625
1755830979.447644,-85.9375,-20.01953125,-485.83984375,-62.98828125
1755830979.4550743,-64.94140625,97.16796875,-294.921875,-7.32421875
1755830979.462505,-85.44921875,35.15625,-302.24609375,-30.2734375
1755830979.4699357,-90.33203125,-304.6875,-642.08984375,-53.7109375
1755830979.4773662,-51.26953125,-283.203125,-677.24609375,-34.66796875
1755830979.484797,-24.90234375,-508.7890625,-731.4453125,5.859375
1755830979.4922276,-55.6640625,-84.9609375,-418.9453125,0.48828125
1755830979.499658,-100.09765625,272.4609375,-308.59375,-51.26953125
1755830979.507089,-108.3984375,-412.109375,-797.36328125,-58.59375
1755830979.5074475,-67.87109375,-458.984375,-755.859375,11.23046875
1755830979.507807,-74.21875,282.2265625,-261.23046875,3.90625
1755830979.5081663,-131.34765625,273.4375,-395.01953125,-62.5
1755830979.5085254,-120.1171875,-505.859375,-880.859375,-61.5234375
1755830979.5088844,-78.125,-642.578125,-829.58984375,-26.85546875
1755830979.5092435,-91.30859375,2.44140625,-439.94140625,-30.76171875
1755830979.509603,-119.140625,-33.69140625,-579.1015625,-36.62109375
1755830979.509962,-116.2109375,-650.390625,-959.47265625,-55.17578125
1755830979.5103211,-80.56640625,-633.30078125,-899.90234375,-41.015625
