timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1755831837.3169649,-6.34765625,316.40625,-135.7421875,-25.87890625
1755831837.3205338,9.765625,274.4140625,-180.17578125,-5.37109375
1755831837.3241024,37.109375,238.28125,-152.83203125,24.90234375
1755831837.327671,16.11328125,178.7109375,-156.25,14.6484375
1755831837.33124,-12.20703125,36.62109375,-296.875,-14.16015625
1755831837.3348086,6.8359375,20.01953125,-321.2890625,-6.34765625
1755831837.3383772,39.0625,-391.6015625,-591.796875,45.41015625
1755831837.341946,33.69140625,-229.98046875,-457.51953125,32.71484375
1755831837.3455148,0.48828125,484.375,65.4296875,-18.5546875
1755831837.3490834,-13.18359375,436.5234375,-5.859375,-19.04296875
1755831837.3526523,31.73828125,-307.12890625,-549.8046875,27.34375
1755831837.356221,44.921875,-229.4921875,-506.8359375,29.78515625
1755831837.362526,1.953125,488.76953125,27.34375,-8.30078125
1755831837.3688307,-21.97265625,314.453125,-58.10546875,-16.11328125
1755831837.3751357,-5.859375,145.01953125,-197.75390625,9.27734375
1755831837.3814406,21.484375,362.79296875,-58.59375,35.15625
1755831837.3877454,11.71875,491.2109375,55.6640625,19.53125
1755831837.3940504,-14.6484375,7.8125,-289.0625,-2.9296875
1755831837.400355,-12.6953125,-564.453125,-718.26171875,20.5078125
1755831837.40666,4.8828125,-67.87109375,-353.02734375,21.484375
1755831837.412965,2.44140625,562.01171875,111.81640625,-6.8359375
1755831837.41927,-17.08984375,40.52734375,-278.3203125,-13.18359375
1755831837.4255748,-12.20703125,-400.390625,-610.3515625,-8.30078125
1755831837.4318798,14.16015625,295.41015625,-85.9375,15.13671875
1755831837.43309,23.4375,474.12109375,48.828125,32.2265625
1755831837.4343,-9.765625,41.50390625,-272.4609375,6.34765625
1755831837.4355102,-33.203125,44.921875,-298.828125,-3.90625
1755831837.4367204,1.46484375,343.26171875,-87.890625,11.71875
1755831837.4379303,30.76171875,408.203125,24.90234375,27.34375
1755831837.4391406,3.90625,-4.8828125,-262.20703125,10.25390625
1755831837.4403508,-15.13671875,-229.4921875,-488.76953125,-20.99609375
1755831837.4415607,6.8359375,256.34765625,-157.2265625,-1.46484375
1755831837.442771,39.0625,423.33984375,25.87890625,29.78515625
1755831837.4439812,29.296875,-164.55078125,-401.3671875,30.2734375
1755831837.4451911,-19.53125,-206.54296875,-471.19140625,-5.37109375
1755831837.4464014,-13.671875,258.30078125,-138.671875,-9.765625
1755831837.4503195,33.69140625,153.80859375,-214.35546875,28.80859375
1755831837.454238,30.2734375,-110.3515625,-365.72265625,24.4140625
1755831837.458156,-12.6953125,128.90625,-196.77734375,-12.6953125
1755831837.4620745,-5.37109375,357.91015625,-76.171875,-4.39453125
1755831837.4659927,35.15625,223.6328125,-135.25390625,33.69140625
1755831837.4699109,41.50390625,-727.05078125,-789.55078125,51.7578125
1755831837.473829,-9.27734375,-641.6015625,-752.9296875,17.08984375
1755831837.4777474,-29.296875,236.328125,-141.11328125,-18.5546875
1755831837.4816656,9.765625,-14.6484375,-330.078125,10.7421875
1755831837.4855838,35.15625,55.17578125,-235.3515625,35.64453125
1755831837.4895022,20.01953125,479.00390625,78.125,5.37109375
1755831837.4934204,7.32421875,423.33984375,5.859375,-12.6953125
1755831837.4972816,19.53125,0.0,-284.1796875,18.5546875
1755831837.5011427,30.2734375,-41.50390625,-293.45703125,46.875
1755831837.505004,3.41796875,417.48046875,27.83203125,21.484375
1755831837.5088654,-31.73828125,361.81640625,-29.296875,-16.11328125
1755831837.5127263,-9.765625,-37.59765625,-327.63671875,3.90625
1755831837.5165875,42.96875,-187.98828125,-395.99609375,41.50390625
1755831837.520449,41.50390625,-61.03515625,-300.29296875,25.390625
1755831837.52431,-2.44140625,203.125,-130.37109375,-5.859375
1755831837.5281715,-6.34765625,-357.421875,-545.41015625,5.37109375
1755831837.5320327,12.6953125,-367.1875,-541.50390625,23.4375
1755831837.535894,30.2734375,496.09375,127.9296875,23.92578125
1755831837.539755,21.97265625,380.37109375,47.36328125,9.27734375
1755831837.5444748,0.0,108.88671875,-185.546875,-4.39453125
1755831837.5491943,17.578125,236.328125,-135.7421875,16.11328125
1755831837.553914,46.38671875,463.37890625,73.73046875,36.1328125
1755831837.5586338,26.3671875,148.4375,-112.3046875,24.90234375
1755831837.5633533,5.859375,-247.55859375,-463.37890625,7.8125
1755831837.568073,23.4375,-86.42578125,-351.07421875,11.71875
1755831837.5727928,35.64453125,158.203125,-137.6953125,36.1328125
1755831837.5775125,32.71484375,63.4765625,-201.66015625,42.96875
1755831837.582232,4.39453125,-778.3203125,-846.19140625,21.484375
1755831837.5869515,-8.7890625,-243.1640625,-490.234375,-6.34765625
1755831837.5916712,34.1796875,553.22265625,138.18359375,16.6015625
1755831837.596391,43.45703125,152.34375,-154.296875,22.94921875
1755831837.6014304,2.44140625,119.140625,-179.6875,-8.30078125
1755831837.6064696,-0.48828125,388.671875,11.23046875,-8.30078125
1755831837.611509,37.59765625,333.49609375,-47.36328125,31.25
1755831837.6165483,42.96875,236.81640625,-83.984375,36.1328125
1755831837.621588,-2.44140625,184.08203125,-135.7421875,0.9765625
1755831837.6266274,-41.50390625,-28.3203125,-292.96875,-24.4140625
1755831837.631667,-18.06640625,72.265625,-181.15234375,-15.13671875
1755831837.636706,27.34375,-425.78125,-537.109375,28.80859375
1755831837.6417456,-2.44140625,-483.88671875,-598.14453125,3.41796875
1755831837.6467848,-43.45703125,413.0859375,27.34375,-49.8046875
1755831837.6518242,-5.37109375,358.3984375,-2.44140625,-21.484375
1755831837.6568637,32.71484375,-206.0546875,-396.97265625,39.0625
1755831837.6583602,7.32421875,-36.1328125,-297.36328125,21.484375
1755831837.6598568,-15.625,463.8671875,55.17578125,-25.87890625
1755831837.661353,-3.90625,173.828125,-161.62109375,-14.16015625
1755831837.66285,16.6015625,64.453125,-200.1953125,17.08984375
1755831837.6643465,20.5078125,403.80859375,70.3125,21.97265625
1755831837.665843,-1.953125,210.44921875,-81.54296875,2.44140625
1755831837.6673396,1.953125,-268.5546875,-446.2890625,-6.8359375
1755831837.668836,28.3203125,-80.078125,-324.70703125,14.6484375
1755831837.670333,31.25,464.35546875,99.12109375,26.3671875
1755831837.6718292,12.6953125,332.51953125,20.01953125,5.37109375
1755831837.6733258,-8.7890625,-296.875,-477.05078125,-4.8828125
1755831837.6748223,1.46484375,-277.83203125,-493.65234375,10.7421875
1755831837.6795382,24.4140625,407.71484375,9.27734375,23.92578125
1755831837.6842542,18.5546875,531.25,130.859375,9.27734375
1755831837.68897,4.39453125,-160.64453125,-378.41796875,5.859375
1755831837.693686,2.9296875,-216.30859375,-456.54296875,11.23046875
1755831837.698402,20.5078125,368.65234375,-2.9296875,15.625
1755831837.7031178,17.578125,200.1953125,-91.796875,23.4375
1755831837.7078335,0.0,-508.7890625,-618.1640625,0.0
1755831837.7125494,-6.34765625,-743.65234375,-843.26171875,-16.6015625
1755831837.7172654,-2.9296875,238.28125,-131.8359375,-6.34765625
1755831837.7219813,27.83203125,478.02734375,93.75,15.625
1755831837.7266972,-2.9296875,145.01953125,-174.8046875,-0.9765625
1755831837.7314131,-32.2265625,229.98046875,-130.37109375,-19.04296875
1755831837.7354524,13.671875,313.96484375,-28.80859375,8.7890625
1755831837.7394917,45.8984375,159.1796875,-130.37109375,41.015625
1755831837.743531,11.23046875,-75.68359375,-319.3359375,18.5546875
1755831837.7475705,-23.4375,112.79296875,-224.12109375,1.46484375
1755831837.7516096,-0.48828125,367.67578125,-6.8359375,10.7421875
1755831837.755649,35.15625,-145.5078125,-352.05078125,33.69140625
1755831837.7596884,7.8125,-528.3203125,-663.0859375,23.92578125
1755831837.7637277,-44.921875,105.95703125,-241.69921875,-26.3671875
1755831837.767767,-26.3671875,406.73828125,-28.80859375,-24.90234375
1755831837.7718062,19.53125,99.609375,-196.2890625,25.87890625
1755831837.7758455,21.97265625,137.6953125,-146.97265625,26.85546875
1755831837.7798848,-4.39453125,513.671875,107.91015625,-22.4609375
1755831837.7834537,-21.484375,416.9921875,15.13671875,-20.5078125
1755831837.787022,14.6484375,18.06640625,-283.69140625,33.203125
1755831837.7905903,34.66796875,44.921875,-216.30859375,53.22265625
1755831837.794159,3.41796875,157.71484375,-121.09375,9.765625
1755831837.7977276,-2.9296875,167.48046875,-153.80859375,-17.578125
1755831837.801296,34.1796875,-126.46484375,-362.3046875,21.97265625
1755831837.8048644,50.29296875,-167.96875,-385.25390625,41.9921875
1755831837.808433,23.92578125,263.18359375,-74.70703125,12.20703125
1755831837.8120017,-12.20703125,369.62890625,-6.8359375,-11.23046875
1755831837.81557,5.37109375,-451.66015625,-604.4921875,25.87890625
1755831837.8191383,33.69140625,-625.48828125,-733.88671875,50.29296875
1755831837.8227072,5.37109375,387.20703125,0.48828125,24.90234375
1755831837.8264894,-20.5078125,238.76953125,-100.5859375,0.48828125
1755831837.8302715,-10.7421875,20.01953125,-287.109375,-0.48828125
1755831837.834054,24.90234375,323.73046875,-84.47265625,31.73828125
1755831837.8378365,26.85546875,515.625,86.42578125,39.0625
1755831837.8416183,3.90625,318.84765625,-20.01953125,-0.48828125
1755831837.8454008,2.9296875,-141.11328125,-357.91015625,-9.765625
1755831837.849183,34.66796875,-221.6796875,-433.10546875,18.06640625
1755831837.8529656,37.59765625,166.015625,-125.9765625,33.69140625
1755831837.856748,5.859375,20.99609375,-233.88671875,16.6015625
1755831837.86053,-1.46484375,-779.296875,-855.95703125,-14.6484375
1755831837.8643124,11.71875,-226.07421875,-446.77734375,-2.9296875
1755831837.8680947,40.0390625,442.87109375,80.078125,41.50390625
1755831837.8730557,30.76171875,205.56640625,-101.5625,32.71484375
1755831837.8780165,-9.27734375,155.2734375,-186.5234375,-1.953125
1755831837.8829775,-8.30078125,373.53515625,-38.57421875,5.37109375
1755831837.8879385,23.92578125,336.42578125,-19.53125,40.0390625
1755831837.8928993,26.3671875,195.80078125,-93.26171875,41.50390625
1755831837.8978603,-16.6015625,-27.34375,-252.44140625,11.23046875
1755831837.9028213,-24.4140625,59.5703125,-220.21484375,0.9765625
1755831837.907782,28.3203125,374.51171875,-10.25390625,35.64453125
1755831837.912743,60.05859375,-280.2734375,-458.49609375,65.4296875
1755831837.917704,18.5546875,-497.0703125,-634.765625,11.71875
1755831837.9226649,-18.06640625,330.078125,-63.96484375,-26.3671875
1755831837.927626,25.390625,368.65234375,-20.5078125,19.04296875
1755831837.930193,59.08203125,-27.83203125,-278.80859375,51.7578125
1755831837.9327598,17.578125,201.171875,-99.12109375,23.4375
1755831837.9353266,-2.9296875,504.39453125,90.8203125,-13.18359375
1755831837.9378936,29.78515625,267.08984375,-84.9609375,6.8359375
1755831837.9404607,48.828125,172.8515625,-115.72265625,50.29296875
1755831837.9430275,35.15625,167.48046875,-112.79296875,33.203125
1755831837.9455943,5.859375,51.26953125,-211.42578125,-12.20703125
1755831837.9481614,4.39453125,-196.77734375,-405.76171875,0.48828125
1755831837.9507284,35.64453125,-200.68359375,-406.25,41.50390625
1755831837.9532952,29.78515625,304.6875,-55.6640625,42.96875
1755831837.955862,-13.671875,516.11328125,77.1484375,-6.34765625
1755831837.958429,-1.953125,-52.734375,-321.77734375,-3.41796875
1755831837.962232,42.96875,-502.44140625,-653.80859375,44.921875
1755831837.966035,41.50390625,342.28515625,-31.73828125,32.2265625
1755831837.9698377,9.765625,525.87890625,106.4453125,6.8359375
1755831837.973641,-10.7421875,130.859375,-192.87109375,11.23046875
1755831837.9774437,28.3203125,166.50390625,-143.5546875,40.0390625
1755831837.9812465,69.82421875,161.62109375,-117.1875,49.8046875
1755831837.9850492,40.52734375,106.93359375,-160.64453125,27.83203125
1755831837.9888525,8.30078125,-399.90234375,-561.03515625,22.4609375
1755831837.9926553,9.765625,-423.828125,-607.421875,33.203125
1755831837.996458,30.2734375,449.70703125,55.17578125,32.71484375
1755831838.0002608,34.66796875,407.2265625,37.59765625,24.4140625
1755831838.0040638,7.32421875,110.83984375,-217.7734375,9.27734375
1755831838.007758,2.44140625,217.7734375,-191.40625,0.48828125
1755831838.0114522,31.73828125,490.234375,25.87890625,20.01953125
1755831838.0151465,36.1328125,291.015625,-51.7578125,28.80859375
1755831838.0188403,0.0,-25.390625,-299.31640625,-5.859375
1755831838.0225344,-8.30078125,162.59765625,-210.44921875,-12.20703125
1755831838.0262284,29.296875,184.5703125,-139.6484375,26.3671875
1755831838.0299227,46.875,-156.73828125,-344.23828125,57.6171875
1755831838.0336168,4.39453125,-679.6875,-765.13671875,33.203125
1755831838.0373108,-28.80859375,-124.51171875,-407.71484375,-20.5078125
1755831838.0410051,5.37109375,559.5703125,109.375,-0.48828125
1755831838.0446992,39.55078125,203.61328125,-99.12109375,34.1796875
1755831838.0483932,19.04296875,95.21484375,-179.19921875,12.6953125
1755831838.0521502,-18.5546875,500.0,96.6796875,-27.34375
1755831838.0559075,2.9296875,489.2578125,75.1953125,-7.8125
1755831838.0596645,53.22265625,235.83984375,-101.5625,39.0625
1755831838.0634215,36.62109375,321.77734375,-22.94921875,33.69140625
1755831838.0671787,1.953125,367.1875,-6.34765625,1.953125
1755831838.0709355,4.39453125,185.05859375,-135.7421875,6.34765625
1755831838.074693,49.31640625,-428.7109375,-583.0078125,49.8046875
1755831838.07845,47.8515625,-579.1015625,-696.2890625,40.52734375
1755831838.0822072,-11.23046875,392.08984375,5.859375,-19.53125
1755831838.0859642,-13.671875,419.43359375,7.8125,-23.92578125
1755831838.0897214,25.87890625,-33.203125,-324.70703125,20.5078125
1755831838.0934784,45.41015625,249.51171875,-100.09765625,39.0625
1755831838.1007917,11.71875,564.94140625,132.8125,6.34765625
1755831838.108105,-6.8359375,229.98046875,-157.2265625,-17.578125
1755831838.1154184,13.671875,37.59765625,-274.4140625,17.08984375
1755831838.1227317,36.62109375,356.4453125,0.9765625,34.1796875
1755831838.130045,29.78515625,451.66015625,45.8984375,11.23046875
1755831838.1373582,4.39453125,-47.36328125,-309.5703125,0.9765625
1755831838.1446714,8.7890625,-582.03125,-719.23828125,0.9765625
1755831838.1519847,24.4140625,60.546875,-263.671875,3.90625
1755831838.159298,16.6015625,494.140625,125.9765625,5.37109375
1755831838.1666114,-16.11328125,-53.22265625,-265.13671875,-9.27734375
1755831838.1739247,-20.5078125,-122.0703125,-391.6015625,-10.7421875
1755831838.181238,10.7421875,333.0078125,-77.1484375,15.13671875
1755831838.1827254,31.25,469.7265625,58.10546875,18.5546875
1755831838.184213,3.90625,-45.41015625,-307.6171875,4.8828125
1755831838.1857004,-14.6484375,-216.796875,-488.28125,-1.46484375
1755831838.1871877,12.20703125,289.0625,-138.671875,9.27734375
1755831838.1886752,41.50390625,398.92578125,-5.859375,33.69140625
1755831838.190163,23.92578125,-28.3203125,-301.7578125,20.5078125
1755831838.1916502,-6.34765625,-140.625,-414.55078125,-11.23046875
1755831838.1931376,18.5546875,269.53125,-138.671875,10.25390625
1755831838.194625,55.17578125,372.55859375,-13.18359375,39.0625
1755831838.1961124,38.0859375,102.05078125,-201.171875,26.85546875
1755831838.1976,-5.859375,207.51953125,-151.3671875,0.9765625
1755831838.1990874,0.9765625,356.93359375,-12.6953125,7.32421875
1755831838.2027843,32.71484375,146.484375,-138.18359375,51.26953125
1755831838.2064817,31.73828125,-268.06640625,-457.51953125,59.08203125
1755831838.2101784,-1.953125,-71.2890625,-361.328125,17.578125
1755831838.2138753,-3.90625,430.6640625,-8.30078125,-8.7890625
1755831838.2175722,37.59765625,134.765625,-190.4296875,29.296875
1755831838.2212691,50.29296875,-401.85546875,-553.7109375,60.546875
1755831838.2249663,-0.9765625,-122.55859375,-377.9296875,7.32421875
1755831838.2286632,-27.83203125,426.26953125,-31.25,-26.3671875
1755831838.23236,14.6484375,60.546875,-283.203125,18.5546875
1755831838.2360573,41.015625,-531.25,-679.19921875,56.15234375
1755831838.2397542,-1.953125,62.98828125,-260.25390625,-0.9765625
1755831838.243451,-33.69140625,401.85546875,-39.55078125,-23.92578125
1755831838.247183,-6.34765625,88.37890625,-265.13671875,2.9296875
1755831838.2509153,20.5078125,177.734375,-171.875,22.94921875
1755831838.2546473,11.23046875,305.17578125,-36.62109375,25.87890625
1755831838.2583797,-14.6484375,189.453125,-151.85546875,-12.20703125
1755831838.2621114,-13.18359375,-89.84375,-394.53125,-15.625
1755831838.2658434,23.92578125,-301.7578125,-518.5546875,26.3671875
1755831838.2695756,27.83203125,61.5234375,-229.98046875,24.4140625
1755831838.2733076,-2.9296875,432.12890625,29.78515625,-8.30078125
1755831838.2770398,-4.39453125,-255.37109375,-499.0234375,-1.46484375
1755831838.2807715,14.16015625,-324.21875,-567.87109375,16.11328125
1755831838.284504,34.1796875,510.7421875,57.6171875,33.203125
1755831838.288236,19.04296875,308.59375,-62.98828125,22.4609375
