timestamps,eeg_1,eeg_2,eeg_3,eeg_4
1755832694.9851036,-147.4609375,-38.0859375,-56.15234375,-158.69140625
1755832694.9887366,-119.62890625,-41.9921875,-55.6640625,-114.74609375
1755832694.9923694,-30.76171875,-41.50390625,-46.38671875,-2.9296875
1755832694.9960022,-41.9921875,-41.50390625,-39.55078125,-20.5078125
1755832694.9996352,-135.25390625,-41.50390625,-44.43359375,-137.6953125
1755832695.003268,-134.765625,-33.203125,-47.8515625,-133.7890625
1755832695.0069008,-27.83203125,-35.64453125,-46.875,-2.9296875
1755832695.0105338,-18.5546875,-41.50390625,-49.8046875,11.23046875
1755832695.0141666,-121.58203125,-37.109375,-52.734375,-124.51171875
1755832695.0177994,-141.6015625,-37.109375,-46.875,-148.4375
1755832695.0214324,-53.22265625,-38.0859375,-37.59765625,-30.2734375
1755832695.0250652,-9.27734375,-35.64453125,-36.1328125,21.97265625
1755832695.0300653,-81.54296875,-31.73828125,-38.0859375,-75.68359375
1755832695.0350654,-132.8125,-33.203125,-38.57421875,-143.06640625
1755832695.0400655,-66.40625,-33.203125,-39.55078125,-57.12890625
1755832695.0450656,-1.46484375,-26.85546875,-37.109375,21.484375
1755832695.0500658,-41.015625,-25.87890625,-34.66796875,-40.0390625
1755832695.055066,-108.88671875,-32.2265625,-38.57421875,-121.58203125
1755832695.0600662,-89.35546875,-40.0390625,-48.828125,-73.2421875
1755832695.0650663,-12.20703125,-39.55078125,-44.921875,13.671875
1755832695.0700665,-17.578125,-30.2734375,-37.109375,-14.16015625
1755832695.0750666,-113.28125,-31.25,-41.50390625,-105.95703125
1755832695.0800667,-123.046875,-41.015625,-40.52734375,-101.5625
1755832695.0850668,-35.15625,-42.48046875,-35.15625,-7.8125
1755832695.088761,-11.23046875,-40.52734375,-36.62109375,13.671875
1755832695.0924554,-91.796875,-33.203125,-41.015625,-89.84375
1755832695.0961497,-139.16015625,-32.2265625,-43.45703125,-141.6015625
1755832695.099844,-61.03515625,-36.1328125,-39.55078125,-47.36328125
1755832695.1035385,1.953125,-29.296875,-37.109375,13.671875
1755832695.1072326,-65.91796875,-29.78515625,-43.45703125,-67.3828125
1755832695.1109266,-139.16015625,-38.0859375,-51.7578125,-154.78515625
1755832695.114621,-90.33203125,-38.57421875,-60.546875,-89.84375
1755832695.1183152,-8.30078125,-35.15625,-57.6171875,12.20703125
1755832695.1220095,-36.1328125,-37.59765625,-51.7578125,-38.57421875
1755832695.1257038,-131.8359375,-44.921875,-60.05859375,-137.6953125
1755832695.129398,-116.69921875,-43.45703125,-62.5,-103.02734375
1755832695.1356273,-15.13671875,-37.109375,-53.22265625,-0.9765625
1755832695.141857,-5.859375,-39.0625,-51.26953125,-17.578125
1755832695.1480858,-93.75,-41.9921875,-49.8046875,-116.2109375
1755832695.154315,-116.2109375,-39.0625,-51.26953125,-132.32421875
1755832695.1605444,-29.78515625,-40.0390625,-55.6640625,-21.97265625
1755832695.1667736,17.08984375,-41.50390625,-52.24609375,32.2265625
1755832695.1730027,-72.75390625,-44.43359375,-50.78125,-84.47265625
1755832695.179232,-134.27734375,-38.57421875,-51.26953125,-146.97265625
1755832695.1854613,-56.15234375,-39.0625,-50.78125,-48.33984375
1755832695.1916904,6.34765625,-47.8515625,-47.36328125,17.08984375
1755832695.1979198,-50.78125,-46.875,-45.8984375,-66.40625
1755832695.204149,-122.55859375,-37.109375,-46.38671875,-138.18359375
1755832695.2054708,-86.42578125,-35.64453125,-41.015625,-73.73046875
1755832695.2067926,-3.41796875,-35.15625,-27.83203125,27.83203125
1755832695.2081144,-27.34375,-32.2265625,-30.76171875,-18.06640625
1755832695.2094362,-121.58203125,-33.203125,-41.9921875,-123.046875
1755832695.210758,-111.81640625,-40.0390625,-46.875,-91.796875
1755832695.2120798,-24.4140625,-47.8515625,-42.96875,11.71875
1755832695.2134016,-21.484375,-44.921875,-38.0859375,-6.8359375
1755832695.214723,-106.93359375,-38.57421875,-41.9921875,-121.09375
1755832695.2160451,-122.0703125,-33.69140625,-42.48046875,-128.90625
1755832695.217367,-35.15625,-38.0859375,-39.55078125,-24.4140625
1755832695.2186887,4.8828125,-32.2265625,-43.45703125,14.16015625
1755832695.2200105,-67.3828125,-30.76171875,-57.12890625,-70.80078125
1755832695.2237434,-123.046875,-39.55078125,-62.5,-124.51171875
1755832695.2274766,-61.5234375,-37.59765625,-59.08203125,-51.26953125
1755832695.2312095,-5.859375,-39.0625,-56.640625,9.765625
1755832695.2349424,-53.22265625,-37.59765625,-64.453125,-51.26953125
1755832695.2386756,-125.48828125,-44.43359375,-72.75390625,-130.37109375
1755832695.2424085,-107.91015625,-49.8046875,-66.40625,-91.30859375
1755832695.2461414,-17.08984375,-38.57421875,-59.5703125,-1.46484375
1755832695.2498746,-14.6484375,-31.73828125,-58.59375,-18.06640625
1755832695.2536075,-99.609375,-34.1796875,-69.82421875,-117.67578125
1755832695.2573404,-109.86328125,-38.0859375,-70.3125,-122.0703125
1755832695.2610736,-21.97265625,-36.1328125,-58.10546875,-14.6484375
1755832695.2648065,-0.9765625,-39.0625,-59.08203125,3.41796875
1755832695.2685754,-90.8203125,-39.0625,-65.91796875,-103.02734375
1755832695.2723444,-137.20703125,-38.0859375,-64.453125,-145.01953125
1755832695.2761133,-59.5703125,-38.0859375,-53.7109375,-38.0859375
1755832695.2798822,-15.13671875,-48.33984375,-49.8046875,14.6484375
1755832695.283651,-80.078125,-46.38671875,-47.8515625,-79.1015625
1755832695.28742,-136.23046875,-40.0390625,-39.55078125,-136.71875
1755832695.291189,-85.9375,-48.33984375,-33.69140625,-66.40625
1755832695.294958,-5.37109375,-48.33984375,-27.34375,27.83203125
1755832695.2987268,-37.109375,-41.50390625,-28.3203125,-30.2734375
1755832695.3024957,-118.1640625,-34.1796875,-34.66796875,-138.18359375
1755832695.3062646,-91.30859375,-30.2734375,-30.76171875,-77.1484375
1755832695.3100336,-0.9765625,-29.296875,-29.78515625,23.92578125
1755832695.313902,-5.859375,-31.25,-37.109375,-8.30078125
1755832695.3177705,-101.07421875,-36.62109375,-43.9453125,-112.3046875
1755832695.321639,-111.328125,-30.76171875,-38.57421875,-103.02734375
1755832695.3255076,-20.5078125,-22.4609375,-22.94921875,14.16015625
1755832695.329376,5.37109375,-31.73828125,-18.06640625,26.3671875
1755832695.3332446,-83.49609375,-37.109375,-22.4609375,-84.47265625
1755832695.3371131,-124.51171875,-44.43359375,-28.3203125,-122.55859375
1755832695.3409815,-56.15234375,-50.78125,-30.76171875,-34.66796875
1755832695.34485,-13.671875,-40.0390625,-25.87890625,7.32421875
1755832695.3487186,-67.87109375,-33.203125,-25.87890625,-74.70703125
1755832695.352587,-134.27734375,-32.71484375,-33.203125,-137.6953125
1755832695.3564556,-84.47265625,-37.109375,-39.0625,-72.265625
1755832695.3624194,-15.13671875,-42.96875,-35.64453125,10.25390625
1755832695.3683834,-47.8515625,-38.0859375,-32.2265625,-34.1796875
1755832695.3743472,-120.60546875,-39.0625,-34.1796875,-134.765625
1755832695.3803113,-112.79296875,-45.41015625,-33.69140625,-114.2578125
1755832695.386275,-23.92578125,-42.48046875,-25.390625,-0.9765625
1755832695.392239,-23.92578125,-40.52734375,-23.4375,-5.859375
1755832695.398203,-103.515625,-41.9921875,-30.76171875,-105.95703125
1755832695.4041667,-123.046875,-42.48046875,-33.203125,-120.60546875
1755832695.4101307,-50.78125,-41.015625,-32.2265625,-35.64453125
1755832695.4160943,-4.39453125,-44.43359375,-33.69140625,4.39453125
1755832695.4220586,-82.51953125,-46.38671875,-44.43359375,-85.9375
1755832695.4280224,-129.39453125,-42.48046875,-46.875,-139.6484375
1755832695.4305222,-38.0859375,-39.0625,-40.0390625,-39.55078125
1755832695.433022,28.3203125,-33.203125,-34.66796875,35.64453125
1755832695.4355216,-34.66796875,-31.73828125,-36.1328125,-51.26953125
1755832695.4380214,-112.3046875,-38.0859375,-33.203125,-141.11328125
1755832695.4405212,-76.171875,-36.62109375,-20.5078125,-79.58984375
1755832695.4430208,7.32421875,-38.0859375,-13.671875,22.94921875
1755832695.4455206,-17.578125,-39.55078125,-18.5546875,-22.94921875
1755832695.4480205,-115.72265625,-39.0625,-24.4140625,-140.13671875
1755832695.4505205,-120.1171875,-37.59765625,-21.484375,-118.65234375
1755832695.45302,-31.73828125,-36.1328125,-19.53125,-7.8125
1755832695.4555197,-24.90234375,-39.0625,-21.484375,-11.23046875
1755832695.4580195,-118.1640625,-37.59765625,-23.92578125,-128.90625
1755832695.4619298,-140.625,-34.66796875,-23.92578125,-148.4375
1755832695.4658403,-49.31640625,-34.1796875,-21.97265625,-39.55078125
1755832695.4697506,0.9765625,-29.296875,-20.01953125,5.859375
1755832695.473661,-76.171875,-23.4375,-22.94921875,-82.51953125
1755832695.4775715,-133.7890625,-28.80859375,-27.83203125,-145.99609375
1755832695.4814818,-54.6875,-39.0625,-27.34375,-41.50390625
1755832695.485392,8.7890625,-34.66796875,-25.390625,33.203125
1755832695.4893026,-52.734375,-32.2265625,-32.2265625,-63.4765625
1755832695.493213,-117.1875,-36.1328125,-41.015625,-137.6953125
1755832695.4971232,-82.03125,-32.71484375,-42.48046875,-70.80078125
1755832695.5010338,-6.8359375,-30.2734375,-34.1796875,12.20703125
1755832695.504944,-22.4609375,-37.109375,-31.73828125,-33.203125
1755832695.5087018,-110.3515625,-38.57421875,-44.921875,-125.48828125
1755832695.5124598,-108.3984375,-30.2734375,-49.8046875,-104.4921875
1755832695.5162177,-16.6015625,-32.2265625,-44.921875,0.9765625
1755832695.5199752,1.953125,-35.64453125,-39.0625,12.20703125
1755832695.5237331,-77.1484375,-32.2265625,-32.71484375,-79.1015625
1755832695.5274909,-110.83984375,-38.0859375,-31.25,-105.95703125
1755832695.5312486,-35.15625,-41.9921875,-33.203125,-20.5078125
1755832695.5350063,-0.9765625,-40.52734375,-31.25,22.4609375
1755832695.5387642,-71.2890625,-43.45703125,-26.3671875,-56.640625
1755832695.542522,-124.51171875,-43.45703125,-25.390625,-120.60546875
1755832695.54628,-84.47265625,-41.50390625,-23.4375,-64.94140625
1755832695.5500376,-2.9296875,-36.1328125,-15.625,19.53125
1755832695.5574667,-39.55078125,-33.203125,-16.11328125,-31.73828125
1755832695.564896,-127.9296875,-39.55078125,-24.4140625,-128.90625
1755832695.5723252,-92.7734375,-41.9921875,-25.390625,-84.9609375
1755832695.5797544,-8.7890625,-41.50390625,-22.94921875,15.625
1755832695.5871837,-23.92578125,-38.0859375,-22.4609375,-10.25390625
1755832695.5946126,-113.76953125,-40.52734375,-27.83203125,-112.3046875
1755832695.6020415,-123.046875,-48.828125,-33.69140625,-112.79296875
1755832695.6094708,-30.76171875,-44.921875,-30.76171875,-9.765625
1755832695.6169,3.41796875,-41.9921875,-27.34375,18.06640625
1755832695.624329,-85.44921875,-50.29296875,-37.59765625,-91.796875
1755832695.6317585,-138.671875,-43.9453125,-40.0390625,-144.53125
1755832695.6391876,-57.6171875,-37.109375,-23.92578125,-34.1796875
1755832695.6395447,6.34765625,-37.59765625,-20.5078125,35.15625
1755832695.639902,-70.3125,-35.15625,-27.34375,-54.6875
1755832695.6402593,-126.953125,-32.71484375,-26.3671875,-132.32421875
1755832695.6406164,-65.91796875,-31.25,-29.296875,-64.453125
1755832695.6409738,3.41796875,-30.76171875,-30.76171875,21.484375
1755832695.641331,-22.4609375,-32.2265625,-27.34375,-30.2734375
1755832695.641688,-110.3515625,-34.66796875,-32.71484375,-125.0
1755832695.6420455,-100.09765625,-38.57421875,-37.59765625,-97.65625
1755832695.6424026,-8.7890625,-34.66796875,-31.25,2.9296875
1755832695.6427598,-21.97265625,-27.34375,-29.296875,-7.32421875
1755832695.6431172,-113.28125,-29.78515625,-34.1796875,-107.91015625
1755832695.6434743,-114.74609375,-39.55078125,-33.69140625,-109.375
1755832695.6494513,-29.296875,-44.921875,-30.76171875,-8.30078125
1755832695.6554282,5.37109375,-28.3203125,-25.87890625,25.390625
1755832695.661405,-68.359375,-20.5078125,-26.85546875,-70.3125
1755832695.667382,-116.2109375,-30.2734375,-37.59765625,-120.60546875
1755832695.673359,-48.828125,-35.64453125,-42.96875,-38.0859375
1755832695.679336,10.7421875,-36.62109375,-41.015625,25.87890625
1755832695.685313,-49.8046875,-33.69140625,-39.55078125,-43.9453125
